step,voice,note,length,velocity
528,0,38,4,112
528,1,72,3,104
532,1,69,3,104
534,0,38,2,92
536,1,74,6,104
538,0,38,2,92
538,2,62,4,64
538,3,65,4,64
538,4,69,4,64
542,0,50,2,92
544,0,34,4,112
544,1,77,6,104
544,2,62,10,64
544,3,65,10,64
544,4,70,10,64
550,0,34,2,92
552,1,74,3,104
554,0,34,2,92
554,2,62,4,64
554,3,65,4,64
554,4,70,4,64
556,1,70,3,104
558,0,34,2,92
560,0,34,4,112
560,1,69,3,104
564,1,70,3,104
566,0,34,2,92
568,1,74,6,104
570,0,34,2,92
570,2,62,4,64
570,3,65,4,64
570,4,70,4,64
574,0,46,2,92
576,0,41,4,112
576,1,77,6,104
576,2,60,10,64
576,3,65,10,64
576,4,69,10,64
582,0,41,2,92
584,1,79,3,104
586,0,41,2,92
586,2,60,4,64
586,3,65,4,64
586,4,69,4,64
588,1,77,3,104
590,0,41,2,92
592,0,41,4,112
592,1,76,3,104
596,1,72,3,104
598,0,41,2,92
600,1,69,6,104
602,0,41,2,92
602,2,60,4,64
602,3,65,4,64
602,4,69,4,64
606,0,53,2,92
608,0,36,4,112
608,1,76,6,104
608,2,60,10,64
608,3,64,10,64
608,4,67,10,64
614,0,36,2,92
616,1,74,3,104
618,0,36,2,92
618,2,60,4,64
618,3,64,4,64
618,4,67,4,64
620,1,72,3,104
622,0,36,2,92
624,0,36,4,112
624,1,67,6,104
630,0,36,2,92
632,1,69,3,104
634,0,36,2,92
634,2,60,4,64
634,3,64,4,64
634,4,67,4,64
636,1,72,3,104
638,0,48,2,92
640,0,38,4,112
640,1,77,6,104
640,2,62,10,64
640,3,65,10,64
640,4,69,10,64
646,0,38,2,92
648,1,76,2,104
650,0,38,2,92
650,1,74,5,104
650,2,62,4,64
650,3,65,4,64
650,4,69,4,64
654,0,38,2,92
656,0,38,4,112
656,1,72,3,104
660,1,69,3,104
662,0,38,2,92
664,1,74,6,104
666,0,38,2,92
666,2,62,4,64
666,3,65,4,64
666,4,69,4,64
670,0,50,2,92
672,0,34,4,112
672,1,77,6,104
672,2,62,10,64
672,3,65,10,64
672,4,70,10,64
678,0,34,2,92
680,1,74,3,104
682,0,34,2,92
682,2,62,4,64
682,3,65,4,64
682,4,70,4,64
684,1,70,3,104
686,0,34,2,92
688,0,34,4,112
688,1,69,3,104
692,1,70,3,104
694,0,34,2,92
696,1,74,6,104
698,0,34,2,92
698,2,62,4,64
698,3,65,4,64
698,4,70,4,64
702,0,46,2,92
704,0,41,4,112
704,1,77,6,104
704,2,60,10,64
704,3,65,10,64
704,4,69,10,64
710,0,41,2,92
712,1,79,3,104
714,0,41,2,92
714,2,60,4,64
714,3,65,4,64
714,4,69,4,64
716,1,77,3,104
718,0,41,2,92
720,0,41,4,112
720,1,76,3,104
724,1,72,3,104
726,0,41,2,92
728,1,69,6,104
730,0,41,2,92
730,2,60,4,64
730,3,65,4,64
730,4,69,4,64
734,0,53,2,92
736,0,36,4,112
736,1,76,6,104
736,2,60,10,64
736,3,64,10,64
736,4,67,10,64
742,0,36,2,92
744,1,74,3,104
746,0,36,2,92
746,2,60,4,64
746,3,64,4,64
746,4,67,4,64
748,1,72,3,104
750,0,36,2,92
752,0,36,4,112
752,1,67,6,104
758,0,36,2,92
760,1,69,3,104
762,0,36,2,92
762,2,60,4,64
762,3,64,4,64
762,4,67,4,64
764,1,72,3,104
766,0,48,2,92
768,0,38,4,112
768,2,62,24,72
