T t=20.0 bar=13 sec=1 dma=1 interp=1 | render ms 4.27/4.62/5.00 | fps 59.7 | spans 1258 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2709 cy/pump 38.85 Mcy/s 1618 cy/sample | pump worst 236.36 us peak 246.77 us | AHASH s=480000 16acb6dc | last_us prep=11 world=4822 lights=494 board=0 other=3 shot=2 world_id=2 lights_n=1
T t=21.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.69/4.58/5.04 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2650 cy/pump 38.00 Mcy/s 1583 cy/sample | pump worst 259.77 us peak 259.77 us | AHASH s=504000 717310a9 | last_us prep=11 world=3697 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=22.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.68/3.76/3.84 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2617 cy/pump 37.53 Mcy/s 1564 cy/sample | pump worst 181.15 us peak 259.77 us | AHASH s=528000 bdec0105 | last_us prep=10 world=3698 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=23.0 bar=15 sec=1 dma=1 interp=1 | render ms 3.67/3.75/3.87 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2594 cy/pump 37.19 Mcy/s 1550 cy/sample | pump worst 191.65 us peak 259.77 us | AHASH s=552000 987943c7 | last_us prep=11 world=3670 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=24.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.20/3.73/3.85 | fps 59.7 | spans 949 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2660 cy/pump 38.15 Mcy/s 1589 cy/sample | pump worst 182.91 us peak 259.77 us | AHASH s=576000 b7a4077e | last_us prep=10 world=3197 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=25.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.14/3.24/3.39 | fps 59.7 | spans 1032 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2846 cy/pump 40.82 Mcy/s 1701 cy/sample | pump worst 214.55 us peak 259.77 us | AHASH s=600000 f009e5a9 | last_us prep=11 world=3175 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=26.0 bar=17 sec=2 dma=1 interp=1 | render ms 3.15/3.24/3.43 | fps 59.7 | spans 986 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2872 cy/pump 41.19 Mcy/s 1716 cy/sample | pump worst 216.86 us peak 259.77 us | AHASH s=624000 7e6c4a6c | last_us prep=11 world=3170 lights=10 board=0 other=2 shot=3 world_id=3 lights_n=1
T t=27.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.14/3.25/3.44 | fps 59.7 | spans 955 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2871 cy/pump 41.18 Mcy/s 1716 cy/sample | pump worst 243.20 us peak 259.77 us | AHASH s=648000 f49d25ba | last_us prep=10 world=3163 lights=14 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=28.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.15/3.27/3.38 | fps 59.7 | spans 1042 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1703 cy/sample | pump worst 243.40 us peak 259.77 us | AHASH s=672000 3fad9b38 | last_us prep=11 world=3231 lights=34 board=0 other=2 shot=3 world_id=3 lights_n=1
T t=29.0 bar=19 sec=2 dma=1 interp=1 | render ms 3.09/3.22/3.40 | fps 59.7 | spans 980 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2865 cy/pump 41.09 Mcy/s 1712 cy/sample | pump worst 236.43 us peak 259.77 us | AHASH s=696000 67d16b90 | last_us prep=11 world=3099 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=30.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.09/3.26/3.82 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2866 cy/pump 41.11 Mcy/s 1713 cy/sample | pump worst 234.51 us peak 259.77 us | AHASH s=720000 a4965b87 | last_us prep=12 world=3691 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=31.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.68/3.76/3.87 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2825 cy/pump 40.51 Mcy/s 1688 cy/sample | pump worst 192.66 us peak 259.77 us | AHASH s=744000 928689ea | last_us prep=10 world=3699 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=32.1 bar=21 sec=2 dma=1 interp=1 | render ms 3.69/3.78/3.86 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2838 cy/pump 40.70 Mcy/s 1696 cy/sample | pump worst 189.38 us peak 259.77 us | AHASH s=768000 81d2d254 | last_us prep=10 world=3743 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=33.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.20/3.72/3.90 | fps 59.7 | spans 958 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2846 cy/pump 40.81 Mcy/s 1700 cy/sample | pump worst 203.54 us peak 259.77 us | AHASH s=792000 7f79ba8c | last_us prep=11 world=3259 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=34.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.24/3.34/3.45 | fps 59.7 | spans 1115 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2850 cy/pump 40.88 Mcy/s 1704 cy/sample | pump worst 207.89 us peak 259.77 us | AHASH s=816000 2c8cb3ee | last_us prep=12 world=3334 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=35.1 bar=23 sec=2 dma=1 interp=1 | render ms 3.40/3.71/4.14 | fps 59.7 | spans 1212 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2865 cy/pump 41.09 Mcy/s 1712 cy/sample | pump worst 226.69 us peak 259.77 us | AHASH s=840000 c068afb2 | last_us prep=12 world=4052 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=36.1 bar=24 sec=3 dma=1 interp=1 | render ms 4.09/4.78/6.28 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2874 cy/pump 41.22 Mcy/s 1718 cy/sample | pump worst 256.03 us peak 259.77 us | AHASH s=864000 3792f536 | last_us prep=3 world=6276 lights=267 board=1 other=0 shot=6 world_id=4 lights_n=3
T t=37.1 bar=24 sec=3 dma=1 interp=1 | render ms 6.18/6.56/7.33 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2837 cy/pump 40.69 Mcy/s 1695 cy/sample | pump worst 150.31 us peak 259.77 us | AHASH s=888000 c3e57a0d | last_us prep=3 world=6736 lights=726 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=38.1 bar=25 sec=3 dma=1 interp=1 | render ms 6.18/6.71/7.33 | fps 59.7 | spans 255 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2839 cy/pump 40.71 Mcy/s 1696 cy/sample | pump worst 154.21 us peak 259.77 us | AHASH s=912000 fac2c359 | last_us prep=3 world=6597 lights=586 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=39.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.78/6.07/7.34 | fps 59.7 | spans 276 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1702 cy/sample | pump worst 148.75 us peak 259.77 us | AHASH s=936000 e8ba91a6 | last_us prep=3 world=3258 lights=2028 board=0 other=1 shot=2 world_id=4 lights_n=3
T t=40.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.77/3.59/4.49 | fps 59.7 | spans 276 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2836 cy/pump 40.67 Mcy/s 1694 cy/sample | pump worst 146.57 us peak 259.77 us | AHASH s=960000 4c0032fb | last_us prep=3 world=2788 lights=1550 board=0 other=1 shot=2 world_id=4 lights_n=3
T t=41.1 bar=27 sec=3 dma=1 interp=1 | render ms 2.77/3.57/4.42 | fps 59.7 | spans 276 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2830 cy/pump 40.59 Mcy/s 1691 cy/sample | pump worst 148.00 us peak 259.77 us | AHASH s=984000 4ee72319 | last_us prep=3 world=4087 lights=2861 board=0 other=1 shot=2 world_id=4 lights_n=3
T t=42.1 bar=28 sec=3 dma=1 interp=1 | render ms 2.77/3.94/6.31 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2843 cy/pump 40.78 Mcy/s 1699 cy/sample | pump worst 151.20 us peak 259.77 us | AHASH s=1008000 83dbfe27 | last_us prep=3 world=6307 lights=298 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=43.1 bar=28 sec=3 dma=1 interp=1 | render ms 6.18/6.57/7.33 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2844 cy/pump 40.79 Mcy/s 1699 cy/sample | pump worst 146.44 us peak 259.77 us | AHASH s=1032000 0c275e97 | last_us prep=3 world=6802 lights=793 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=44.1 bar=29 sec=3 dma=1 interp=1 | render ms 6.18/6.69/7.34 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2832 cy/pump 40.62 Mcy/s 1692 cy/sample | pump worst 150.30 us peak 259.77 us | AHASH s=1056000 e9cecb7a | last_us prep=3 world=6255 lights=246 board=0 other=2 shot=6 world_id=4 lights_n=4
T t=45.1 bar=30 sec=3 dma=1 interp=1 | render ms 6.18/6.50/7.34 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2865 cy/pump 41.09 Mcy/s 1712 cy/sample | pump worst 152.25 us peak 259.77 us | AHASH s=1080000 aa72f8a4 | last_us prep=4 world=6297 lights=317 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=46.1 bar=30 sec=3 dma=1 interp=1 | render ms 6.32/7.35/10.16 | fps 59.7 | spans 380 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2914 cy/pump 41.80 Mcy/s 1741 cy/sample | pump worst 151.75 us peak 259.77 us | AHASH s=1104000 7c05f65f | last_us prep=4 world=10160 lights=865 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=47.1 bar=31 sec=3 dma=1 interp=1 | render ms 10.44/15.57/20.76 | fps 44.0 | spans 489 | repeat 17 | over 19 | fill 624 win 988 under 0 | synth 2903 cy/pump 41.63 Mcy/s 1763 cy/sample | pump worst 154.48 us peak 259.77 us | AHASH s=1128000 a2f6259f | last_us prep=4 world=19794 lights=172 board=0 other=0 shot=6 world_id=4 lights_n=4
T t=48.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.72/15.08/21.00 | fps 35.8 | spans 1221 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2933 cy/pump 42.06 Mcy/s 1724 cy/sample | pump worst 229.64 us peak 259.77 us | AHASH s=1152000 2b3d3eb8 | last_us prep=13 world=4848 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=49.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.55/4.69/4.86 | fps 59.7 | spans 1221 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2903 cy/pump 41.63 Mcy/s 1734 cy/sample | pump worst 232.02 us peak 259.77 us | AHASH s=1176000 b541f8e7 | last_us prep=14 world=4773 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=50.2 bar=33 sec=4 dma=1 interp=1 | render ms 4.62/4.84/5.25 | fps 59.7 | spans 1221 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2883 cy/pump 41.34 Mcy/s 1722 cy/sample | pump worst 240.36 us peak 259.77 us | AHASH s=1200000 b3bf79ca | last_us prep=13 world=4885 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=51.2 bar=34 sec=4 dma=1 interp=1 | render ms 3.20/4.51/5.22 | fps 59.7 | spans 957 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2893 cy/pump 41.48 Mcy/s 1729 cy/sample | pump worst 237.02 us peak 259.77 us | AHASH s=1224000 77a14471 | last_us prep=13 world=3283 lights=15 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=52.2 bar=34 sec=4 dma=1 interp=1 | render ms 3.18/3.27/3.37 | fps 59.7 | spans 1080 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2870 cy/pump 41.17 Mcy/s 1715 cy/sample | pump worst 218.20 us peak 259.77 us | AHASH s=1248000 bf4cfcbe | last_us prep=14 world=3280 lights=51 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=53.2 bar=35 sec=4 dma=1 interp=1 | render ms 3.13/3.23/3.49 | fps 59.7 | spans 988 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2855 cy/pump 40.94 Mcy/s 1706 cy/sample | pump worst 232.07 us peak 259.77 us | AHASH s=1272000 22d2540f | last_us prep=13 world=3211 lights=0 board=0 other=2 shot=3 world_id=5 lights_n=0
T t=54.2 bar=36 sec=4 dma=1 interp=1 | render ms 3.12/3.89/7.16 | fps 59.7 | spans 1295 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2947 cy/pump 42.26 Mcy/s 1761 cy/sample | pump worst 221.37 us peak 259.77 us | AHASH s=1296000 5ef3448e | last_us prep=14 world=7145 lights=2203 board=0 other=2 shot=2 world_id=5 lights_n=6
T t=55.2 bar=36 sec=4 dma=1 interp=1 | render ms 6.30/7.49/8.45 | fps 59.7 | spans 1294 | repeat 41 | over 43 | fill 624 win 987 under 0 | synth 2996 cy/pump 42.97 Mcy/s 1790 cy/sample | pump worst 237.36 us peak 259.77 us | AHASH s=1320000 ef9abee1 | last_us prep=14 world=6346 lights=1355 board=0 other=2 shot=2 world_id=5 lights_n=7
