
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 1.01/1.07/1.08 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 64 firstrep 0 boot 1 | fill 987 win 987 under 0 | synth 2029 cy/pump 29.10 Mcy/s 1233 cy/sample | pump worst 135.38 us peak 135.38 us | AHASH s=24000 6b88cae2 | last_us prep=2 world=259 lights=0 board=821 other=0 shot=1 world_id=0 lights_n=0
T t=1.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.08/1.12 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 124 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 1988 cy/pump 28.51 Mcy/s 1188 cy/sample | pump worst 103.97 us peak 135.38 us | AHASH s=48000 431aec17 | last_us prep=2 world=257 lights=0 board=821 other=1 shot=1 world_id=0 lights_n=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.08/1.11 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 184 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2008 cy/pump 28.79 Mcy/s 1200 cy/sample | pump worst 120.80 us peak 135.38 us | AHASH s=72000 d85b3957 | last_us prep=2 world=258 lights=0 board=821 other=0 shot=1 world_id=0 lights_n=0
T t=3.9 bar=2 sec=0 dma=1 interp=1 | render ms 1.09/1.11/1.12 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 244 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2097 cy/pump 30.08 Mcy/s 1253 cy/sample | pump worst 130.85 us peak 135.38 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=257 lights=0 board=866 other=1 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.12/1.12/1.16 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 304 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 1988 cy/pump 28.52 Mcy/s 1188 cy/sample | pump worst 102.97 us peak 135.38 us | AHASH s=120000 22709f37 | last_us prep=2 world=257 lights=0 board=866 other=1 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.12/1.19/5.46 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 364 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2029 cy/pump 29.10 Mcy/s 1212 cy/sample | pump worst 181.64 us peak 181.64 us | AHASH s=144000 9c89b320 | last_us prep=3 world=5457 lights=880 board=0 other=0 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 5.19/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 424 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2710 cy/pump 38.86 Mcy/s 1619 cy/sample | pump worst 216.23 us peak 216.23 us | AHASH s=168000 814d6140 | last_us prep=11 world=5437 lights=880 board=1 other=3 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 5.18/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 484 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2703 cy/pump 38.76 Mcy/s 1615 cy/sample | pump worst 231.52 us peak 231.52 us | AHASH s=192000 31b1c5b9 | last_us prep=11 world=5461 lights=879 board=1 other=2 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 5.18/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 544 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2650 cy/pump 38.01 Mcy/s 1584 cy/sample | pump worst 251.01 us peak 251.01 us | AHASH s=216000 61b6be09 | last_us prep=10 world=5448 lights=880 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 5.07/5.75/6.55 | fps 59.7 | spans 1318 | repeat 0 | over 0 | fields 604 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2655 cy/pump 38.07 Mcy/s 1586 cy/sample | pump worst 218.28 us peak 251.01 us | AHASH s=240000 25d03fb3 | last_us prep=11 world=6536 lights=1937 board=0 other=3 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 6.04/6.47/6.85 | fps 59.7 | spans 1360 | repeat 0 | over 0 | fields 664 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2596 cy/pump 37.23 Mcy/s 1551 cy/sample | pump worst 212.19 us peak 251.01 us | AHASH s=264000 4de0a9c1 | last_us prep=10 world=6405 lights=1748 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=12.0 bar=8 sec=1 dma=1 interp=1 | render ms 6.06/6.46/6.95 | fps 59.7 | spans 1287 | repeat 0 | over 0 | fields 724 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2595 cy/pump 37.22 Mcy/s 1551 cy/sample | pump worst 212.36 us peak 251.01 us | AHASH s=288000 6c973ea8 | last_us prep=11 world=6617 lights=1978 board=1 other=2 shot=2 world_id=1 lights_n=7
T t=13.0 bar=8 sec=1 dma=1 interp=1 | render ms 6.14/6.68/7.52 | fps 59.7 | spans 1334 | repeat 0 | over 0 | fields 784 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2627 cy/pump 37.67 Mcy/s 1569 cy/sample | pump worst 239.39 us peak 251.01 us | AHASH s=312000 b9d7221a | last_us prep=12 world=6804 lights=2126 board=0 other=2 shot=2 world_id=1 lights_n=8
T t=14.0 bar=9 sec=1 dma=1 interp=1 | render ms 6.60/7.09/7.59 | fps 59.7 | spans 1321 | repeat 0 | over 0 | fields 844 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2626 cy/pump 37.66 Mcy/s 1569 cy/sample | pump worst 212.62 us peak 251.01 us | AHASH s=336000 88bd8014 | last_us prep=12 world=7228 lights=2530 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=15.0 bar=10 sec=1 dma=1 interp=1 | render ms 6.60/7.36/8.16 | fps 59.7 | spans 1336 | repeat 0 | over 0 | fields 904 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2626 cy/pump 37.66 Mcy/s 1569 cy/sample | pump worst 213.69 us peak 251.01 us | AHASH s=360000 6ad1254f | last_us prep=11 world=8112 lights=3278 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=16.0 bar=10 sec=1 dma=1 interp=1 | render ms 7.17/7.72/8.31 | fps 59.7 | spans 1375 | repeat 0 | over 0 | fields 964 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2624 cy/pump 37.64 Mcy/s 1568 cy/sample | pump worst 259.30 us peak 259.30 us | AHASH s=384000 dd8ae638 | last_us prep=11 world=7542 lights=2759 board=0 other=3 shot=2 world_id=1 lights_n=6
T t=17.0 bar=11 sec=1 dma=1 interp=1 | render ms 7.06/7.95/8.86 | fps 59.7 | spans 1352 | repeat 0 | over 0 | fields 1024 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2627 cy/pump 37.68 Mcy/s 1570 cy/sample | pump worst 263.19 us peak 263.19 us | AHASH s=408000 7d89b7ab | last_us prep=11 world=8054 lights=3292 board=0 other=3 shot=2 world_id=1 lights_n=7
