
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=16.0 bar=10 sec=1 dma=1 interp=1 | render ms 6.48/6.79/7.21 | fps 59.7 | spans 1090 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2623 cy/pump 37.62 Mcy/s 1567 cy/sample | pump worst 241.00 us peak 264.84 us | AHASH s=384000 dd8ae638 | last_us prep=9 world=6645 lights=2762 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=17.0 bar=11 sec=1 dma=1 interp=1 | render ms 6.42/6.97/7.69 | fps 59.7 | spans 1081 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2624 cy/pump 37.63 Mcy/s 1567 cy/sample | pump worst 237.16 us peak 264.84 us | AHASH s=408000 7d89b7ab | last_us prep=10 world=7030 lights=3190 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=18.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.86/7.06/7.60 | fps 59.7 | spans 1261 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2661 cy/pump 38.16 Mcy/s 1590 cy/sample | pump worst 217.63 us peak 264.84 us | AHASH s=432000 8e26e7b3 | last_us prep=11 world=4846 lights=635 board=0 other=2 shot=2 world_id=2 lights_n=2
T t=19.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.26/4.75/5.45 | fps 59.7 | spans 1245 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2747 cy/pump 39.40 Mcy/s 1641 cy/sample | pump worst 231.15 us peak 264.84 us | AHASH s=456000 50b688a1 | last_us prep=10 world=4553 lights=267 board=0 other=3 shot=2 world_id=2 lights_n=1
T t=20.0 bar=13 sec=1 dma=1 interp=1 | render ms 4.25/4.63/5.00 | fps 59.7 | spans 1258 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2711 cy/pump 38.87 Mcy/s 1619 cy/sample | pump worst 266.07 us peak 266.07 us | AHASH s=480000 16acb6dc | last_us prep=10 world=4819 lights=495 board=0 other=3 shot=2 world_id=2 lights_n=1
T t=21.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.70/4.57/5.06 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2655 cy/pump 38.08 Mcy/s 1586 cy/sample | pump worst 210.15 us peak 266.07 us | AHASH s=504000 717310a9 | last_us prep=10 world=3696 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=22.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.67/3.76/3.85 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2614 cy/pump 37.49 Mcy/s 1562 cy/sample | pump worst 185.83 us peak 266.07 us | AHASH s=528000 bdec0105 | last_us prep=10 world=3715 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=23.0 bar=15 sec=1 dma=1 interp=1 | render ms 3.68/3.75/3.91 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2597 cy/pump 37.24 Mcy/s 1551 cy/sample | pump worst 177.21 us peak 266.07 us | AHASH s=552000 987943c7 | last_us prep=11 world=3697 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=24.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.21/3.72/3.85 | fps 59.7 | spans 949 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2661 cy/pump 38.16 Mcy/s 1590 cy/sample | pump worst 246.54 us peak 266.07 us | AHASH s=576000 b7a4077e | last_us prep=11 world=3196 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=25.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.14/3.24/3.35 | fps 59.7 | spans 1034 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2850 cy/pump 40.88 Mcy/s 1703 cy/sample | pump worst 236.61 us peak 266.07 us | AHASH s=600000 f009e5a9 | last_us prep=9 world=3195 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
