SELFTEST accelerator=0 (real SIO registers)
T t=20.0 bar=13 sec=1 dma=1 interp=1 | render ms 4.76/5.39/6.68 | fps 59.7 | spans 1655 | repeat 0 | over 0 | fields 1204 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2719 cy/pump 38.99 Mcy/s 1624 cy/sample | pump worst 232.97 us peak 257.55 us | AHASH s=480000 16acb6dc | last_us prep=13 world=5138 lights=0 board=0 other=3 shot=2 world_id=2 lights_n=0
T t=21.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.89/5.35/6.98 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1264 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2657 cy/pump 38.11 Mcy/s 1587 cy/sample | pump worst 221.83 us peak 257.55 us | AHASH s=504000 717310a9 | last_us prep=11 world=3951 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=22.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.86/3.94/4.04 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1324 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2615 cy/pump 37.50 Mcy/s 1563 cy/sample | pump worst 200.34 us peak 257.55 us | AHASH s=528000 bdec0105 | last_us prep=12 world=3988 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=23.0 bar=15 sec=1 dma=1 interp=1 | render ms 3.86/3.94/4.01 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1384 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2590 cy/pump 37.15 Mcy/s 1548 cy/sample | pump worst 203.42 us peak 257.55 us | AHASH s=552000 987943c7 | last_us prep=11 world=3956 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=24.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.28/3.90/4.03 | fps 59.7 | spans 949 | repeat 0 | over 0 | fields 1444 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2659 cy/pump 38.13 Mcy/s 1588 cy/sample | pump worst 200.30 us peak 257.55 us | AHASH s=576000 b7a4077e | last_us prep=11 world=3389 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=25.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.25/3.35/3.46 | fps 59.7 | spans 1034 | repeat 0 | over 0 | fields 1504 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2854 cy/pump 40.94 Mcy/s 1705 cy/sample | pump worst 212.45 us peak 257.55 us | AHASH s=600000 f009e5a9 | last_us prep=12 world=3367 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=26.0 bar=17 sec=2 dma=1 interp=1 | render ms 3.25/3.35/3.51 | fps 59.7 | spans 986 | repeat 0 | over 0 | fields 1564 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2870 cy/pump 41.15 Mcy/s 1715 cy/sample | pump worst 225.24 us peak 257.55 us | AHASH s=624000 7e6c4a6c | last_us prep=11 world=3341 lights=10 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=27.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.25/3.36/3.55 | fps 59.7 | spans 955 | repeat 0 | over 0 | fields 1624 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2874 cy/pump 41.21 Mcy/s 1717 cy/sample | pump worst 233.86 us peak 257.55 us | AHASH s=648000 f49d25ba | last_us prep=12 world=3365 lights=14 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=28.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.25/3.38/3.52 | fps 59.7 | spans 1042 | repeat 0 | over 0 | fields 1684 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2854 cy/pump 40.92 Mcy/s 1705 cy/sample | pump worst 239.69 us peak 257.55 us | AHASH s=672000 3fad9b38 | last_us prep=12 world=3436 lights=34 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=29.1 bar=19 sec=2 dma=1 interp=1 | render ms 3.19/3.33/3.61 | fps 59.7 | spans 980 | repeat 0 | over 0 | fields 1744 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2871 cy/pump 41.18 Mcy/s 1716 cy/sample | pump worst 210.89 us peak 257.55 us | AHASH s=696000 67d16b90 | last_us prep=12 world=3304 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
