SELFTEST accelerator=0 (real SIO registers)
T t=17.0 bar=11 sec=1 dma=1 interp=1 | render ms 6.40/6.97/7.66 | fps 59.7 | spans 1081 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2621 cy/pump 37.59 Mcy/s 1565 cy/sample | pump worst 210.04 us peak 251.99 us | AHASH s=408000 7d89b7ab | last_us prep=10 world=7053 lights=3201 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=18.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.86/7.07/7.59 | fps 59.7 | spans 1261 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2666 cy/pump 38.22 Mcy/s 1592 cy/sample | pump worst 211.17 us peak 251.99 us | AHASH s=432000 8e26e7b3 | last_us prep=9 world=4876 lights=630 board=0 other=3 shot=2 world_id=2 lights_n=2
T t=19.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.27/4.75/5.44 | fps 59.7 | spans 1245 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2747 cy/pump 39.40 Mcy/s 1641 cy/sample | pump worst 224.21 us peak 251.99 us | AHASH s=456000 50b688a1 | last_us prep=10 world=4592 lights=276 board=0 other=3 shot=2 world_id=2 lights_n=1
T t=20.0 bar=13 sec=1 dma=1 interp=1 | render ms 4.27/4.63/5.00 | fps 59.7 | spans 1258 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2710 cy/pump 38.86 Mcy/s 1619 cy/sample | pump worst 221.92 us peak 251.99 us | AHASH s=480000 16acb6dc | last_us prep=10 world=4825 lights=489 board=0 other=3 shot=2 world_id=2 lights_n=1
T t=21.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.70/4.57/5.08 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2651 cy/pump 38.01 Mcy/s 1583 cy/sample | pump worst 219.93 us peak 251.99 us | AHASH s=504000 717310a9 | last_us prep=10 world=3696 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=22.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.67/3.76/3.88 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2613 cy/pump 37.47 Mcy/s 1561 cy/sample | pump worst 178.30 us peak 251.99 us | AHASH s=528000 bdec0105 | last_us prep=11 world=3720 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=23.0 bar=15 sec=1 dma=1 interp=1 | render ms 3.67/3.75/3.89 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2594 cy/pump 37.20 Mcy/s 1550 cy/sample | pump worst 207.57 us peak 251.99 us | AHASH s=552000 987943c7 | last_us prep=12 world=3688 lights=0 board=0 other=1 shot=4 world_id=3 lights_n=0
T t=24.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.18/3.72/3.86 | fps 59.7 | spans 949 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2663 cy/pump 38.19 Mcy/s 1590 cy/sample | pump worst 251.09 us peak 251.99 us | AHASH s=576000 b7a4077e | last_us prep=9 world=3212 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=25.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.14/3.24/3.36 | fps 59.7 | spans 1034 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2852 cy/pump 40.90 Mcy/s 1704 cy/sample | pump worst 244.96 us peak 251.99 us | AHASH s=600000 f009e5a9 | last_us prep=11 world=3201 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=26.0 bar=17 sec=2 dma=1 interp=1 | render ms 3.14/3.24/3.37 | fps 59.7 | spans 986 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2873 cy/pump 41.19 Mcy/s 1716 cy/sample | pump worst 263.63 us peak 263.63 us | AHASH s=624000 7e6c4a6c | last_us prep=10 world=3176 lights=11 board=0 other=2 shot=3 world_id=3 lights_n=1
T t=27.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.14/3.25/3.38 | fps 59.7 | spans 955 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2871 cy/pump 41.17 Mcy/s 1715 cy/sample | pump worst 232.62 us peak 263.63 us | AHASH s=648000 f49d25ba | last_us prep=10 world=3164 lights=15 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=28.1 bar=18 sec=2 dma=1 interp=1 | render ms 3.16/3.27/3.38 | fps 59.7 | spans 1044 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2850 cy/pump 40.87 Mcy/s 1702 cy/sample | pump worst 232.50 us peak 263.63 us | AHASH s=672000 3fad9b38 | last_us prep=11 world=3229 lights=33 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=29.1 bar=19 sec=2 dma=1 interp=1 | render ms 3.09/3.22/3.41 | fps 59.7 | spans 980 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2866 cy/pump 41.10 Mcy/s 1712 cy/sample | pump worst 228.06 us peak 263.63 us | AHASH s=696000 67d16b90 | last_us prep=11 world=3099 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=30.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.08/3.26/3.82 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2867 cy/pump 41.11 Mcy/s 1713 cy/sample | pump worst 214.19 us peak 263.63 us | AHASH s=720000 a4965b87 | last_us prep=11 world=3699 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=31.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.69/3.76/3.85 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2824 cy/pump 40.51 Mcy/s 1687 cy/sample | pump worst 195.43 us peak 263.63 us | AHASH s=744000 928689ea | last_us prep=11 world=3690 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=32.1 bar=21 sec=2 dma=1 interp=1 | render ms 3.70/3.78/3.86 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2839 cy/pump 40.72 Mcy/s 1697 cy/sample | pump worst 191.72 us peak 263.63 us | AHASH s=768000 81d2d254 | last_us prep=10 world=3728 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=33.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.23/3.71/3.89 | fps 59.7 | spans 958 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2845 cy/pump 40.80 Mcy/s 1700 cy/sample | pump worst 203.41 us peak 263.63 us | AHASH s=792000 7f79ba8c | last_us prep=11 world=3227 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=34.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.23/3.34/3.49 | fps 59.7 | spans 1119 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2855 cy/pump 40.94 Mcy/s 1705 cy/sample | pump worst 211.08 us peak 263.63 us | AHASH s=816000 2c8cb3ee | last_us prep=11 world=3369 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
