
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 1.01/1.07/1.08 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 64 firstrep 0 boot 1 | fill 987 win 987 under 0 | synth 2029 cy/pump 29.10 Mcy/s 1233 cy/sample | pump worst 134.75 us peak 134.75 us | AHASH s=24000 6b88cae2 | last_us prep=2 world=258 lights=0 board=821 other=1 shot=1 world_id=0 lights_n=0
T t=1.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.07/1.08/1.12 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 124 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 1988 cy/pump 28.51 Mcy/s 1188 cy/sample | pump worst 104.82 us peak 134.75 us | AHASH s=48000 431aec17 | last_us prep=2 world=258 lights=0 board=822 other=1 shot=1 world_id=0 lights_n=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.08/1.11 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 184 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2008 cy/pump 28.80 Mcy/s 1199 cy/sample | pump worst 120.80 us peak 134.75 us | AHASH s=72000 d85b3957 | last_us prep=2 world=257 lights=0 board=822 other=1 shot=1 world_id=0 lights_n=0
T t=3.9 bar=2 sec=0 dma=1 interp=1 | render ms 1.08/1.11/1.12 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 244 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2097 cy/pump 30.08 Mcy/s 1253 cy/sample | pump worst 131.01 us peak 134.75 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=257 lights=0 board=866 other=1 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.12/1.12/1.15 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 304 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 1988 cy/pump 28.52 Mcy/s 1188 cy/sample | pump worst 102.45 us peak 134.75 us | AHASH s=120000 22709f37 | last_us prep=2 world=257 lights=0 board=866 other=1 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.12/1.19/5.45 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 364 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2029 cy/pump 29.10 Mcy/s 1212 cy/sample | pump worst 185.09 us peak 185.09 us | AHASH s=144000 9c89b320 | last_us prep=3 world=5454 lights=879 board=0 other=0 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 5.19/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 424 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2711 cy/pump 38.88 Mcy/s 1619 cy/sample | pump worst 218.35 us peak 218.35 us | AHASH s=168000 814d6140 | last_us prep=11 world=5463 lights=880 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 5.18/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 484 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2705 cy/pump 38.80 Mcy/s 1617 cy/sample | pump worst 213.08 us peak 218.35 us | AHASH s=192000 31b1c5b9 | last_us prep=11 world=5448 lights=880 board=1 other=2 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 5.19/5.34/5.49 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 544 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2656 cy/pump 38.08 Mcy/s 1587 cy/sample | pump worst 243.51 us peak 243.51 us | AHASH s=216000 61b6be09 | last_us prep=11 world=5451 lights=880 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 5.08/5.75/6.54 | fps 59.7 | spans 1318 | repeat 0 | over 0 | fields 604 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2658 cy/pump 38.12 Mcy/s 1589 cy/sample | pump worst 221.28 us peak 243.51 us | AHASH s=240000 25d03fb3 | last_us prep=12 world=6530 lights=1937 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 6.09/6.47/6.86 | fps 59.7 | spans 1360 | repeat 0 | over 0 | fields 664 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2594 cy/pump 37.20 Mcy/s 1550 cy/sample | pump worst 212.72 us peak 243.51 us | AHASH s=264000 4de0a9c1 | last_us prep=11 world=6394 lights=1747 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=12.0 bar=8 sec=1 dma=1 interp=1 | render ms 6.05/6.46/6.92 | fps 59.7 | spans 1287 | repeat 0 | over 0 | fields 724 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2593 cy/pump 37.19 Mcy/s 1549 cy/sample | pump worst 211.17 us peak 243.51 us | AHASH s=288000 6c973ea8 | last_us prep=11 world=6626 lights=1975 board=0 other=3 shot=2 world_id=1 lights_n=7
