
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=16.0 bar=10 sec=1 dma=1 interp=1 | render ms 6.46/6.79/7.30 | fps 59.7 | spans 1090 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2627 cy/pump 37.67 Mcy/s 1569 cy/sample | pump worst 212.56 us peak 241.12 us | AHASH s=384000 dd8ae638 | last_us prep=11 world=6767 lights=2750 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=17.0 bar=11 sec=1 dma=1 interp=1 | render ms 6.40/6.98/7.56 | fps 59.7 | spans 1081 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2627 cy/pump 37.67 Mcy/s 1569 cy/sample | pump worst 210.68 us peak 241.12 us | AHASH s=408000 7d89b7ab | last_us prep=10 world=7242 lights=3255 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=18.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.88/7.07/7.67 | fps 59.7 | spans 1261 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2667 cy/pump 38.24 Mcy/s 1594 cy/sample | pump worst 270.50 us peak 270.50 us | AHASH s=432000 8e26e7b3 | last_us prep=11 world=5006 lights=637 board=0 other=2 shot=2 world_id=2 lights_n=2
T t=19.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.27/4.76/5.43 | fps 59.7 | spans 1245 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2747 cy/pump 39.40 Mcy/s 1642 cy/sample | pump worst 250.46 us peak 270.50 us | AHASH s=456000 50b688a1 | last_us prep=11 world=4775 lights=324 board=0 other=2 shot=2 world_id=2 lights_n=1
T t=20.0 bar=13 sec=1 dma=1 interp=1 | render ms 4.27/4.63/5.01 | fps 59.7 | spans 1258 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2713 cy/pump 38.91 Mcy/s 1621 cy/sample | pump worst 247.49 us peak 270.50 us | AHASH s=480000 16acb6dc | last_us prep=11 world=4977 lights=495 board=0 other=2 shot=2 world_id=2 lights_n=1
T t=21.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.68/4.57/5.05 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2652 cy/pump 38.03 Mcy/s 1584 cy/sample | pump worst 228.66 us peak 270.50 us | AHASH s=504000 717310a9 | last_us prep=11 world=3788 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=22.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.68/3.76/3.84 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2618 cy/pump 37.55 Mcy/s 1564 cy/sample | pump worst 180.10 us peak 270.50 us | AHASH s=528000 bdec0105 | last_us prep=11 world=3819 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=23.0 bar=15 sec=1 dma=1 interp=1 | render ms 3.67/3.76/3.84 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2596 cy/pump 37.23 Mcy/s 1551 cy/sample | pump worst 169.44 us peak 270.50 us | AHASH s=552000 987943c7 | last_us prep=10 world=3787 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=24.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.17/3.72/3.85 | fps 59.7 | spans 949 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2661 cy/pump 38.16 Mcy/s 1590 cy/sample | pump worst 209.97 us peak 270.50 us | AHASH s=576000 b7a4077e | last_us prep=10 world=3271 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=25.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.15/3.25/3.35 | fps 59.7 | spans 1034 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2850 cy/pump 40.87 Mcy/s 1703 cy/sample | pump worst 232.46 us peak 270.50 us | AHASH s=600000 f009e5a9 | last_us prep=13 world=3258 lights=0 board=1 other=2 shot=3 world_id=3 lights_n=0
T t=26.0 bar=17 sec=2 dma=1 interp=1 | render ms 3.14/3.25/3.41 | fps 59.7 | spans 986 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2873 cy/pump 41.21 Mcy/s 1717 cy/sample | pump worst 237.07 us peak 270.50 us | AHASH s=624000 7e6c4a6c | last_us prep=12 world=3247 lights=10 board=0 other=2 shot=3 world_id=3 lights_n=1
T t=27.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.15/3.26/3.44 | fps 59.7 | spans 955 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2876 cy/pump 41.25 Mcy/s 1718 cy/sample | pump worst 255.60 us peak 270.50 us | AHASH s=648000 f49d25ba | last_us prep=12 world=3248 lights=15 board=0 other=2 shot=3 world_id=3 lights_n=1
T t=28.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.16/3.28/3.38 | fps 59.7 | spans 1042 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2851 cy/pump 40.89 Mcy/s 1704 cy/sample | pump worst 234.11 us peak 270.50 us | AHASH s=672000 3fad9b38 | last_us prep=12 world=3315 lights=34 board=0 other=2 shot=3 world_id=3 lights_n=1
T t=29.1 bar=19 sec=2 dma=1 interp=1 | render ms 3.09/3.23/3.49 | fps 59.7 | spans 980 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2868 cy/pump 41.13 Mcy/s 1713 cy/sample | pump worst 215.83 us peak 270.50 us | AHASH s=696000 67d16b90 | last_us prep=12 world=3186 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=30.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.08/3.27/3.83 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2869 cy/pump 41.15 Mcy/s 1715 cy/sample | pump worst 218.24 us peak 270.50 us | AHASH s=720000 a4965b87 | last_us prep=11 world=3818 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=31.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.70/3.77/3.83 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2827 cy/pump 40.54 Mcy/s 1689 cy/sample | pump worst 191.55 us peak 270.50 us | AHASH s=744000 928689ea | last_us prep=11 world=3810 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=32.1 bar=21 sec=2 dma=1 interp=1 | render ms 3.71/3.78/3.87 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2842 cy/pump 40.75 Mcy/s 1698 cy/sample | pump worst 201.80 us peak 270.50 us | AHASH s=768000 81d2d254 | last_us prep=11 world=3859 lights=0 board=0 other=1 shot=4 world_id=3 lights_n=0
T t=33.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.24/3.71/3.87 | fps 59.7 | spans 958 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1702 cy/sample | pump worst 202.06 us peak 270.50 us | AHASH s=792000 7f79ba8c | last_us prep=12 world=3342 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=34.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.23/3.34/3.50 | fps 59.7 | spans 1115 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2859 cy/pump 40.99 Mcy/s 1708 cy/sample | pump worst 230.20 us peak 270.50 us | AHASH s=816000 2c8cb3ee | last_us prep=12 world=3441 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=35.1 bar=23 sec=2 dma=1 interp=1 | render ms 3.40/3.71/4.18 | fps 59.7 | spans 1212 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2861 cy/pump 41.03 Mcy/s 1709 cy/sample | pump worst 271.74 us peak 271.74 us | AHASH s=840000 c068afb2 | last_us prep=11 world=4173 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=36.1 bar=24 sec=3 dma=1 interp=1 | render ms 4.16/4.78/6.30 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2875 cy/pump 41.23 Mcy/s 1718 cy/sample | pump worst 222.37 us peak 271.74 us | AHASH s=864000 3792f536 | last_us prep=4 world=6301 lights=291 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=37.1 bar=24 sec=3 dma=1 interp=1 | render ms 6.14/6.54/7.33 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2838 cy/pump 40.71 Mcy/s 1696 cy/sample | pump worst 150.69 us peak 271.74 us | AHASH s=888000 c3e57a0d | last_us prep=3 world=6739 lights=729 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=38.1 bar=25 sec=3 dma=1 interp=1 | render ms 6.14/6.69/7.33 | fps 59.7 | spans 255 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2837 cy/pump 40.69 Mcy/s 1695 cy/sample | pump worst 154.26 us peak 271.74 us | AHASH s=912000 fac2c359 | last_us prep=4 world=6544 lights=532 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=39.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.85/6.06/7.34 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2846 cy/pump 40.82 Mcy/s 1701 cy/sample | pump worst 147.82 us peak 271.74 us | AHASH s=936000 e8ba91a6 | last_us prep=4 world=3246 lights=1904 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=40.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.84/3.65/4.63 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2837 cy/pump 40.68 Mcy/s 1695 cy/sample | pump worst 146.80 us peak 271.74 us | AHASH s=960000 4c0032fb | last_us prep=4 world=2900 lights=1557 board=0 other=0 shot=2 world_id=4 lights_n=2
T t=41.1 bar=27 sec=3 dma=1 interp=1 | render ms 2.83/3.65/4.57 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2830 cy/pump 40.58 Mcy/s 1691 cy/sample | pump worst 147.60 us peak 271.74 us | AHASH s=984000 4ee72319 | last_us prep=4 world=4360 lights=3017 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=42.1 bar=28 sec=3 dma=1 interp=1 | render ms 2.85/3.99/6.31 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2846 cy/pump 40.82 Mcy/s 1701 cy/sample | pump worst 151.98 us peak 271.74 us | AHASH s=1008000 83dbfe27 | last_us prep=4 world=6308 lights=300 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=43.1 bar=28 sec=3 dma=1 interp=1 | render ms 6.14/6.55/7.34 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2845 cy/pump 40.81 Mcy/s 1700 cy/sample | pump worst 146.61 us peak 271.74 us | AHASH s=1032000 0c275e97 | last_us prep=4 world=6845 lights=835 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=44.1 bar=29 sec=3 dma=1 interp=1 | render ms 6.14/6.67/7.33 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2832 cy/pump 40.61 Mcy/s 1692 cy/sample | pump worst 150.11 us peak 271.74 us | AHASH s=1056000 e9cecb7a | last_us prep=4 world=6210 lights=199 board=0 other=0 shot=6 world_id=4 lights_n=4
T t=45.1 bar=30 sec=3 dma=1 interp=1 | render ms 6.15/6.67/7.42 | fps 59.7 | spans 256 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2866 cy/pump 41.10 Mcy/s 1713 cy/sample | pump worst 152.13 us peak 271.74 us | AHASH s=1080000 aa72f8a4 | last_us prep=4 world=7419 lights=320 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=46.1 bar=30 sec=3 dma=1 interp=1 | render ms 7.42/8.13/9.21 | fps 59.7 | spans 336 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2917 cy/pump 41.83 Mcy/s 1742 cy/sample | pump worst 151.72 us peak 271.74 us | AHASH s=1104000 7c05f65f | last_us prep=4 world=9211 lights=871 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=47.1 bar=31 sec=3 dma=1 interp=1 | render ms 9.12/10.42/12.04 | fps 59.7 | spans 481 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2902 cy/pump 41.62 Mcy/s 1734 cy/sample | pump worst 155.05 us peak 271.74 us | AHASH s=1128000 a2f6259f | last_us prep=4 world=10518 lights=172 board=0 other=1 shot=6 world_id=4 lights_n=4
T t=48.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.73/8.40/10.43 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2933 cy/pump 42.06 Mcy/s 1752 cy/sample | pump worst 231.64 us peak 271.74 us | AHASH s=1152000 2b3d3eb8 | last_us prep=15 world=4856 lights=0 board=0 other=1 shot=2 world_id=5 lights_n=0
T t=49.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.55/4.78/5.18 | fps 59.7 | spans 1220 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2906 cy/pump 41.67 Mcy/s 1736 cy/sample | pump worst 232.69 us peak 271.74 us | AHASH s=1176000 b541f8e7 | last_us prep=14 world=4781 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=50.1 bar=33 sec=4 dma=1 interp=1 | render ms 4.62/4.90/5.36 | fps 59.7 | spans 1222 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2882 cy/pump 41.33 Mcy/s 1722 cy/sample | pump worst 227.10 us peak 271.74 us | AHASH s=1200000 b3bf79ca | last_us prep=14 world=5316 lights=407 board=0 other=1 shot=2 world_id=5 lights_n=1
T t=51.1 bar=34 sec=4 dma=1 interp=1 | render ms 3.19/4.57/5.33 | fps 59.7 | spans 957 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2898 cy/pump 41.57 Mcy/s 1732 cy/sample | pump worst 250.33 us peak 271.74 us | AHASH s=1224000 77a14471 | last_us prep=14 world=3276 lights=15 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=52.1 bar=34 sec=4 dma=1 interp=1 | render ms 3.17/3.27/3.40 | fps 59.7 | spans 1074 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2880 cy/pump 41.31 Mcy/s 1721 cy/sample | pump worst 259.48 us peak 271.74 us | AHASH s=1248000 bf4cfcbe | last_us prep=15 world=3276 lights=42 board=0 other=1 shot=3 world_id=5 lights_n=1
T t=53.1 bar=35 sec=4 dma=1 interp=1 | render ms 3.13/3.23/3.44 | fps 59.7 | spans 988 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2854 cy/pump 40.93 Mcy/s 1705 cy/sample | pump worst 260.12 us peak 271.74 us | AHASH s=1272000 22d2540f | last_us prep=14 world=3209 lights=0 board=0 other=1 shot=3 world_id=5 lights_n=0
T t=54.2 bar=36 sec=4 dma=1 interp=1 | render ms 3.12/3.86/7.04 | fps 59.7 | spans 1295 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2949 cy/pump 42.29 Mcy/s 1762 cy/sample | pump worst 229.09 us peak 271.74 us | AHASH s=1296000 5ef3448e | last_us prep=14 world=7024 lights=2071 board=0 other=2 shot=2 world_id=5 lights_n=6
T t=55.2 bar=36 sec=4 dma=1 interp=1 | render ms 6.31/7.59/8.36 | fps 59.7 | spans 1295 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 3004 cy/pump 43.08 Mcy/s 1795 cy/sample | pump worst 288.42 us peak 288.42 us | AHASH s=1320000 ef9abee1 | last_us prep=15 world=6477 lights=1451 board=0 other=1 shot=2 world_id=5 lights_n=7
T t=56.2 bar=37 sec=4 dma=1 interp=1 | render ms 4.62/5.04/6.22 | fps 59.7 | spans 1222 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2884 cy/pump 41.36 Mcy/s 1723 cy/sample | pump worst 242.38 us peak 288.42 us | AHASH s=1344000 d690114c | last_us prep=14 world=5208 lights=407 board=0 other=2 shot=2 world_id=5 lights_n=1
T t=57.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.70/4.62/5.27 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2895 cy/pump 41.52 Mcy/s 1730 cy/sample | pump worst 236.20 us peak 288.42 us | AHASH s=1368000 01ac249b | last_us prep=13 world=3784 lights=0 board=0 other=1 shot=4 world_id=5 lights_n=0
T t=58.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.70/3.77/3.85 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2851 cy/pump 40.89 Mcy/s 1703 cy/sample | pump worst 187.33 us peak 288.42 us | AHASH s=1392000 522cb3b3 | last_us prep=14 world=3790 lights=0 board=0 other=1 shot=4 world_id=5 lights_n=0
T t=59.2 bar=39 sec=4 dma=1 interp=1 | render ms 3.69/3.77/3.84 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2831 cy/pump 40.60 Mcy/s 1692 cy/sample | pump worst 192.20 us peak 288.42 us | AHASH s=1416000 6cc6ca69 | last_us prep=16 world=3774 lights=0 board=0 other=1 shot=4 world_id=5 lights_n=0
T t=60.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.69/3.80/4.00 | fps 59.7 | spans 1252 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2948 cy/pump 42.28 Mcy/s 1762 cy/sample | pump worst 236.38 us peak 288.42 us | AHASH s=1440000 848a85cd | last_us prep=16 world=3870 lights=0 board=1 other=2 shot=3 world_id=6 lights_n=0
T t=61.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.72/3.88/4.05 | fps 59.7 | spans 1392 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 3222 cy/pump 46.21 Mcy/s 1925 cy/sample | pump worst 276.22 us peak 288.42 us | AHASH s=1464000 eda157bc | last_us prep=15 world=3991 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=62.2 bar=41 sec=5 dma=1 interp=1 | render ms 3.74/3.90/4.09 | fps 59.7 | spans 1289 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 3199 cy/pump 45.88 Mcy/s 1911 cy/sample | pump worst 265.58 us peak 288.42 us | AHASH s=1488000 c4640e24 | last_us prep=16 world=3911 lights=11 board=0 other=1 shot=3 world_id=6 lights_n=1
T t=63.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.75/3.90/4.10 | fps 59.7 | spans 1249 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 3211 cy/pump 46.05 Mcy/s 1919 cy/sample | pump worst 273.26 us peak 288.42 us | AHASH s=1512000 092b46aa | last_us prep=15 world=3900 lights=15 board=0 other=2 shot=3 world_id=6 lights_n=1
