SELFTEST accelerator=0 (real SIO registers)
T t=17.0 bar=11 sec=1 dma=1 interp=1 | render ms 6.39/6.97/7.62 | fps 59.7 | spans 1081 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2623 cy/pump 37.62 Mcy/s 1567 cy/sample | pump worst 219.33 us peak 219.33 us | AHASH s=408000 7d89b7ab | last_us prep=10 world=6985 lights=3160 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=18.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.83/7.07/7.60 | fps 59.7 | spans 1261 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2665 cy/pump 38.21 Mcy/s 1592 cy/sample | pump worst 254.08 us peak 254.08 us | AHASH s=432000 8e26e7b3 | last_us prep=10 world=4858 lights=631 board=0 other=2 shot=2 world_id=2 lights_n=2
T t=19.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.28/4.75/5.44 | fps 59.7 | spans 1244 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2745 cy/pump 39.37 Mcy/s 1640 cy/sample | pump worst 265.78 us peak 265.78 us | AHASH s=456000 50b688a1 | last_us prep=10 world=4542 lights=243 board=0 other=3 shot=2 world_id=2 lights_n=1
T t=20.0 bar=13 sec=1 dma=1 interp=1 | render ms 4.29/4.63/5.00 | fps 59.7 | spans 1257 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2712 cy/pump 38.89 Mcy/s 1620 cy/sample | pump worst 257.19 us peak 265.78 us | AHASH s=480000 16acb6dc | last_us prep=11 world=4836 lights=492 board=0 other=2 shot=2 world_id=2 lights_n=1
T t=21.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.68/4.57/5.06 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2652 cy/pump 38.03 Mcy/s 1584 cy/sample | pump worst 236.15 us peak 265.78 us | AHASH s=504000 717310a9 | last_us prep=9 world=3669 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=22.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.68/3.76/3.84 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2615 cy/pump 37.51 Mcy/s 1562 cy/sample | pump worst 170.35 us peak 265.78 us | AHASH s=528000 bdec0105 | last_us prep=10 world=3729 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=23.0 bar=15 sec=1 dma=1 interp=1 | render ms 3.67/3.75/3.88 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2595 cy/pump 37.22 Mcy/s 1551 cy/sample | pump worst 174.38 us peak 265.78 us | AHASH s=552000 987943c7 | last_us prep=11 world=3674 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=24.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.20/3.71/3.85 | fps 59.7 | spans 949 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2662 cy/pump 38.18 Mcy/s 1590 cy/sample | pump worst 206.56 us peak 265.78 us | AHASH s=576000 b7a4077e | last_us prep=11 world=3188 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=25.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.14/3.24/3.40 | fps 59.7 | spans 1034 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2847 cy/pump 40.82 Mcy/s 1701 cy/sample | pump worst 220.83 us peak 265.78 us | AHASH s=600000 f009e5a9 | last_us prep=12 world=3183 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=26.0 bar=17 sec=2 dma=1 interp=1 | render ms 3.13/3.24/3.40 | fps 59.7 | spans 986 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2868 cy/pump 41.13 Mcy/s 1713 cy/sample | pump worst 210.75 us peak 265.78 us | AHASH s=624000 7e6c4a6c | last_us prep=10 world=3124 lights=10 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=27.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.15/3.25/3.42 | fps 59.7 | spans 955 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2871 cy/pump 41.18 Mcy/s 1715 cy/sample | pump worst 220.04 us peak 265.78 us | AHASH s=648000 f49d25ba | last_us prep=11 world=3134 lights=14 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=28.1 bar=18 sec=2 dma=1 interp=1 | render ms 3.18/3.27/3.39 | fps 59.7 | spans 1044 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2852 cy/pump 40.91 Mcy/s 1704 cy/sample | pump worst 210.54 us peak 265.78 us | AHASH s=672000 3fad9b38 | last_us prep=10 world=3242 lights=34 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=29.1 bar=19 sec=2 dma=1 interp=1 | render ms 3.08/3.22/3.44 | fps 59.7 | spans 980 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2868 cy/pump 41.13 Mcy/s 1713 cy/sample | pump worst 213.18 us peak 265.78 us | AHASH s=696000 67d16b90 | last_us prep=11 world=3131 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=30.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.10/3.27/3.82 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2867 cy/pump 41.12 Mcy/s 1713 cy/sample | pump worst 246.93 us peak 265.78 us | AHASH s=720000 a4965b87 | last_us prep=10 world=3702 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=31.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.69/3.76/3.90 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2827 cy/pump 40.55 Mcy/s 1689 cy/sample | pump worst 236.02 us peak 265.78 us | AHASH s=744000 928689ea | last_us prep=11 world=3700 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=32.1 bar=21 sec=2 dma=1 interp=1 | render ms 3.68/3.78/3.86 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2836 cy/pump 40.68 Mcy/s 1695 cy/sample | pump worst 228.98 us peak 265.78 us | AHASH s=768000 81d2d254 | last_us prep=10 world=3757 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=33.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.25/3.71/3.94 | fps 59.7 | spans 958 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1702 cy/sample | pump worst 207.39 us peak 265.78 us | AHASH s=792000 7f79ba8c | last_us prep=11 world=3246 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
