
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 1.01/1.07/1.08 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 64 firstrep 0 boot 1 | fill 987 win 987 under 0 | synth 2031 cy/pump 29.13 Mcy/s 1234 cy/sample | pump worst 135.44 us peak 135.44 us | AHASH s=24000 6b88cae2 | last_us prep=2 world=257 lights=0 board=823 other=0 shot=1 world_id=0 lights_n=0
T t=1.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.08/1.12 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 124 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 1988 cy/pump 28.51 Mcy/s 1188 cy/sample | pump worst 106.63 us peak 135.44 us | AHASH s=48000 431aec17 | last_us prep=2 world=258 lights=0 board=822 other=0 shot=1 world_id=0 lights_n=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.08/1.11 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 184 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2006 cy/pump 28.77 Mcy/s 1199 cy/sample | pump worst 121.22 us peak 135.44 us | AHASH s=72000 d85b3957 | last_us prep=2 world=258 lights=0 board=822 other=0 shot=1 world_id=0 lights_n=0
T t=4.0 bar=2 sec=0 dma=1 interp=1 | render ms 1.09/1.12/1.12 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 244 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2099 cy/pump 30.10 Mcy/s 1254 cy/sample | pump worst 130.49 us peak 135.44 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=257 lights=0 board=866 other=1 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.12/1.12/1.15 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 304 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 1987 cy/pump 28.49 Mcy/s 1187 cy/sample | pump worst 102.23 us peak 135.44 us | AHASH s=120000 22709f37 | last_us prep=2 world=258 lights=0 board=867 other=0 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.12/1.19/5.46 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 364 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2029 cy/pump 29.10 Mcy/s 1212 cy/sample | pump worst 197.03 us peak 197.03 us | AHASH s=144000 9c89b320 | last_us prep=2 world=5456 lights=880 board=0 other=1 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 5.19/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 424 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2706 cy/pump 38.81 Mcy/s 1617 cy/sample | pump worst 217.67 us peak 217.67 us | AHASH s=168000 814d6140 | last_us prep=11 world=5449 lights=879 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 5.19/5.34/5.49 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 484 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2704 cy/pump 38.78 Mcy/s 1615 cy/sample | pump worst 216.26 us peak 217.67 us | AHASH s=192000 31b1c5b9 | last_us prep=11 world=5463 lights=879 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 5.18/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 544 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2653 cy/pump 38.05 Mcy/s 1585 cy/sample | pump worst 215.99 us peak 217.67 us | AHASH s=216000 61b6be09 | last_us prep=11 world=5453 lights=879 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 5.07/5.75/6.56 | fps 59.7 | spans 1318 | repeat 0 | over 0 | fields 604 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2655 cy/pump 38.07 Mcy/s 1586 cy/sample | pump worst 224.42 us peak 224.42 us | AHASH s=240000 25d03fb3 | last_us prep=12 world=6543 lights=1937 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 6.07/6.47/6.86 | fps 59.7 | spans 1359 | repeat 0 | over 0 | fields 664 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2596 cy/pump 37.22 Mcy/s 1551 cy/sample | pump worst 254.46 us peak 254.46 us | AHASH s=264000 4de0a9c1 | last_us prep=11 world=6411 lights=1747 board=0 other=3 shot=2 world_id=1 lights_n=7
