
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=15.0 bar=10 sec=1 dma=1 interp=1 | render ms 6.66/7.36/8.12 | fps 59.7 | spans 1333 | repeat 0 | over 0 | fields 904 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2625 cy/pump 37.65 Mcy/s 1568 cy/sample | pump worst 212.14 us peak 260.64 us | AHASH s=360000 6ad1254f | last_us prep=11 world=8106 lights=3294 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=16.0 bar=10 sec=1 dma=1 interp=1 | render ms 7.12/7.72/8.30 | fps 59.7 | spans 1375 | repeat 0 | over 0 | fields 964 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2629 cy/pump 37.70 Mcy/s 1571 cy/sample | pump worst 218.53 us peak 260.64 us | AHASH s=384000 dd8ae638 | last_us prep=12 world=7573 lights=2784 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=17.0 bar=11 sec=1 dma=1 interp=1 | render ms 7.11/7.95/8.87 | fps 59.7 | spans 1351 | repeat 0 | over 0 | fields 1024 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2626 cy/pump 37.66 Mcy/s 1569 cy/sample | pump worst 213.03 us peak 260.64 us | AHASH s=408000 7d89b7ab | last_us prep=11 world=8016 lights=3260 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=18.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.96/8.06/8.96 | fps 59.7 | spans 1628 | repeat 0 | over 0 | fields 1084 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2670 cy/pump 38.29 Mcy/s 1595 cy/sample | pump worst 232.51 us peak 260.64 us | AHASH s=432000 8e26e7b3 | last_us prep=12 world=5258 lights=314 board=0 other=2 shot=2 world_id=2 lights_n=2
T t=19.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.73/5.39/6.60 | fps 59.7 | spans 1637 | repeat 0 | over 0 | fields 1144 firstrep 0 boot 1 | fill 987 win 987 under 0 | synth 2757 cy/pump 39.53 Mcy/s 1647 cy/sample | pump worst 219.35 us peak 260.64 us | AHASH s=456000 50b688a1 | last_us prep=11 world=5064 lights=0 board=0 other=3 shot=2 world_id=2 lights_n=0
T t=20.0 bar=13 sec=1 dma=1 interp=1 | render ms 4.77/5.39/6.68 | fps 59.7 | spans 1654 | repeat 0 | over 0 | fields 1204 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2716 cy/pump 38.95 Mcy/s 1622 cy/sample | pump worst 227.47 us peak 260.64 us | AHASH s=480000 16acb6dc | last_us prep=12 world=5140 lights=0 board=0 other=2 shot=2 world_id=2 lights_n=0
T t=21.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.89/5.35/6.99 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1264 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2659 cy/pump 38.13 Mcy/s 1589 cy/sample | pump worst 229.95 us peak 260.64 us | AHASH s=504000 717310a9 | last_us prep=11 world=3953 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=22.0 bar=14 sec=1 dma=1 interp=1 | render ms 3.87/3.94/4.02 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1324 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2613 cy/pump 37.48 Mcy/s 1561 cy/sample | pump worst 185.25 us peak 260.64 us | AHASH s=528000 bdec0105 | last_us prep=11 world=3982 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=23.0 bar=15 sec=1 dma=1 interp=1 | render ms 3.86/3.94/4.01 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1384 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2592 cy/pump 37.17 Mcy/s 1549 cy/sample | pump worst 175.58 us peak 260.64 us | AHASH s=552000 987943c7 | last_us prep=12 world=3969 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=24.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.30/3.90/4.02 | fps 59.7 | spans 949 | repeat 0 | over 0 | fields 1444 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2658 cy/pump 38.12 Mcy/s 1588 cy/sample | pump worst 204.08 us peak 260.64 us | AHASH s=576000 b7a4077e | last_us prep=11 world=3398 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=25.0 bar=16 sec=2 dma=1 interp=1 | render ms 3.25/3.35/3.46 | fps 59.7 | spans 1034 | repeat 0 | over 0 | fields 1504 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2850 cy/pump 40.88 Mcy/s 1703 cy/sample | pump worst 236.82 us peak 260.64 us | AHASH s=600000 f009e5a9 | last_us prep=11 world=3373 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=26.0 bar=17 sec=2 dma=1 interp=1 | render ms 3.24/3.35/3.47 | fps 59.7 | spans 986 | repeat 0 | over 0 | fields 1564 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2871 cy/pump 41.16 Mcy/s 1715 cy/sample | pump worst 211.39 us peak 260.64 us | AHASH s=624000 7e6c4a6c | last_us prep=12 world=3393 lights=10 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=27.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.25/3.36/3.58 | fps 59.7 | spans 955 | repeat 0 | over 0 | fields 1624 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2874 cy/pump 41.22 Mcy/s 1716 cy/sample | pump worst 221.32 us peak 260.64 us | AHASH s=648000 f49d25ba | last_us prep=12 world=3378 lights=14 board=0 other=2 shot=3 world_id=3 lights_n=1
T t=28.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.26/3.38/3.51 | fps 59.7 | spans 1042 | repeat 0 | over 0 | fields 1684 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2851 cy/pump 40.88 Mcy/s 1703 cy/sample | pump worst 218.66 us peak 260.64 us | AHASH s=672000 3fad9b38 | last_us prep=11 world=3446 lights=34 board=0 other=4 shot=3 world_id=3 lights_n=1
