
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=150880 heap_free=150880 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=150880
BOOT heap_free_after_video=139264 scanout_lines=240
T t=29.1 bar=15 ph=2 the plain | render ms 6.21/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2438 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=696000 f6db67eb
T t=30.1 bar=15 ph=2 the plain | render ms 6.21/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=720000 f5803255
PHRASE t=30.7 bar=16 ph=3 the plain | render ms 6.21/6.22/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.94 Mcy/s | synth 2958 cy/pump 42.38 Mcy/s 1765 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=720000 f5803255
T t=31.1 bar=16 ph=3 the plain | render ms 6.21/6.23/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2957 cy/pump 41.70 Mcy/s 1737 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=744000 81431960
T t=32.1 bar=16 ph=3 the plain | render ms 6.21/6.23/6.24 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=768000 2e36c2ff
T t=33.1 bar=17 ph=3 the plain | render ms 6.21/6.23/6.24 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2438 cy/line 34.39 Mcy/s | synth 2957 cy/pump 41.71 Mcy/s 1737 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=792000 db9f6da3
T t=34.1 bar=17 ph=3 the plain | render ms 6.21/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=816000 fe2692d6
T t=35.1 bar=18 ph=3 the plain | render ms 6.21/6.23/6.24 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=840000 c7922fc0
T t=36.1 bar=18 ph=3 the plain | render ms 6.22/6.23/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=864000 197a6d81
T t=37.1 bar=19 ph=3 the plain | render ms 6.22/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.71 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=888000 7489a231
T t=38.1 bar=19 ph=3 the plain | render ms 6.22/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=912000 f1caa5b0
T t=39.1 bar=20 ph=3 the plain | render ms 6.22/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=936000 6502a091
T t=40.1 bar=20 ph=3 the plain | render ms 6.22/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=960000 343dd2f7
T t=41.1 bar=21 ph=3 the plain | render ms 6.22/6.23/6.24 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=984000 1856fdf2
T t=42.1 bar=21 ph=3 the plain | render ms 6.22/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=1008000 a0412651
T t=43.1 bar=22 ph=3 the plain | render ms 6.22/6.23/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=1032000 aaebaad7
T t=44.1 bar=23 ph=3 the plain | render ms 6.22/6.23/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2960 cy/pump 41.75 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=1056000 b6aeddef
