SELFTEST accelerator=0 (real SIO registers)
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 8.77/8.80/8.94 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 2228 cy/pump 31.95 Mcy/s 1331 cy/sample | pump worst 157.68 us peak 222.73 us | AHASH s=456000 6e6f93a2 | last_us prep=863 wait=2703 field=1402 mesh=1670 other=2198 texels=42122
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.83/8.86/9.02 | fps 59.7 | tri 1141 | fill 623 win 988 under 0 | synth 2512 cy/pump 36.02 Mcy/s 1501 cy/sample | pump worst 196.55 us peak 222.73 us | AHASH s=480000 d36991df | last_us prep=859 wait=2724 field=1403 mesh=1700 other=2202 texels=42338
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.86/8.90/9.01 | fps 59.7 | tri 1145 | fill 623 win 988 under 0 | synth 2324 cy/pump 33.34 Mcy/s 1389 cy/sample | pump worst 157.81 us peak 222.73 us | AHASH s=504000 b35155a7 | last_us prep=858 wait=2709 field=1402 mesh=1756 other=2205 texels=42696
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.92/8.96/9.09 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2267 cy/pump 32.51 Mcy/s 1354 cy/sample | pump worst 166.87 us peak 222.73 us | AHASH s=528000 f86f406a | last_us prep=859 wait=2711 field=1402 mesh=1807 other=2214 texels=43010
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.98/9.01/9.14 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2348 cy/pump 33.68 Mcy/s 1403 cy/sample | pump worst 162.87 us peak 222.73 us | AHASH s=552000 a6c6ef58 | last_us prep=858 wait=2713 field=1400 mesh=1848 other=2215 texels=43190
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.02/9.05/9.18 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2623 cy/pump 37.62 Mcy/s 1567 cy/sample | pump worst 192.90 us peak 222.73 us | AHASH s=576000 6613dad2 | last_us prep=855 wait=2751 field=1403 mesh=1889 other=2222 texels=43370
T t=25.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.08/9.13/9.23 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3006 cy/pump 43.11 Mcy/s 1796 cy/sample | pump worst 187.96 us peak 222.73 us | AHASH s=600000 107657d0 | last_us prep=857 wait=2709 field=1402 mesh=1978 other=2226 texels=43708
T t=26.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.16/9.23/9.32 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3178 cy/pump 45.58 Mcy/s 1899 cy/sample | pump worst 244.04 us peak 244.04 us | AHASH s=624000 94e5902f | last_us prep=855 wait=2705 field=1401 mesh=2058 other=2233 texels=44262
T t=27.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.27/9.34/9.43 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3122 cy/pump 44.77 Mcy/s 1865 cy/sample | pump worst 192.61 us peak 244.04 us | AHASH s=648000 bfa3b864 | last_us prep=856 wait=2713 field=1402 mesh=2189 other=2242 texels=45252
T t=28.0 bar=14 sec=1 dma=1 interp=1 | render ms 9.39/9.48/9.59 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3050 cy/pump 43.74 Mcy/s 1823 cy/sample | pump worst 192.42 us peak 244.04 us | AHASH s=672000 5eac1f98 | last_us prep=857 wait=2707 field=1402 mesh=2346 other=2244 texels=46516
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 9.56/9.64/9.73 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2975 cy/pump 42.66 Mcy/s 1777 cy/sample | pump worst 185.72 us peak 244.04 us | AHASH s=696000 09e617c9 | last_us prep=858 wait=2704 field=1402 mesh=2478 other=2253 texels=47652
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.70/9.78/9.87 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3179 cy/pump 45.58 Mcy/s 1899 cy/sample | pump worst 235.06 us peak 244.04 us | AHASH s=720000 be19da37 | last_us prep=857 wait=2724 field=1404 mesh=2604 other=2263 texels=48590
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.85/9.91/10.01 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3100 cy/pump 44.46 Mcy/s 1852 cy/sample | pump worst 192.09 us peak 244.04 us | AHASH s=744000 52be3c85 | last_us prep=858 wait=2706 field=1403 mesh=2727 other=2272 texels=49470
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 9.97/10.01/10.12 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3196 cy/pump 45.84 Mcy/s 1910 cy/sample | pump worst 207.26 us peak 244.04 us | AHASH s=768000 55e15374 | last_us prep=858 wait=2730 field=1401 mesh=2801 other=2280 texels=50127
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 10.04/10.10/10.20 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 3015 cy/pump 43.24 Mcy/s 1801 cy/sample | pump worst 187.55 us peak 244.04 us | AHASH s=792000 7e177c80 | last_us prep=866 wait=2689 field=1402 mesh=2870 other=2289 texels=51012
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.12/10.19/10.34 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3189 cy/pump 45.73 Mcy/s 1905 cy/sample | pump worst 206.71 us peak 244.04 us | AHASH s=816000 54124986 | last_us prep=867 wait=2700 field=1403 mesh=2975 other=2300 texels=52200
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.24/10.34/10.43 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3130 cy/pump 44.89 Mcy/s 1870 cy/sample | pump worst 194.17 us peak 244.04 us | AHASH s=840000 1849291d | last_us prep=866 wait=2696 field=1402 mesh=3140 other=2304 texels=53706
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.42/10.50/10.61 | fps 59.7 | tri 1151 | fill 623 win 987 under 0 | synth 3198 cy/pump 45.86 Mcy/s 1910 cy/sample | pump worst 208.28 us peak 244.04 us | AHASH s=864000 949e9bd3 | last_us prep=858 wait=2699 field=1403 mesh=3251 other=2312 texels=54844
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.53/10.58/10.71 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3177 cy/pump 45.57 Mcy/s 1898 cy/sample | pump worst 192.86 us peak 244.04 us | AHASH s=888000 bfc55096 | last_us prep=855 wait=2708 field=1402 mesh=3318 other=2318 texels=55578
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.60/10.69/10.81 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3080 cy/pump 44.17 Mcy/s 1840 cy/sample | pump worst 218.07 us peak 244.04 us | AHASH s=912000 aa750f33 | last_us prep=863 wait=2702 field=1403 mesh=3457 other=2326 texels=56596
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.75/10.84/10.95 | fps 59.7 | tri 1151 | fill 623 win 987 under 0 | synth 2998 cy/pump 43.00 Mcy/s 1791 cy/sample | pump worst 188.79 us peak 244.04 us | AHASH s=936000 2cb8f3a8 | last_us prep=857 wait=2716 field=1403 mesh=3616 other=2335 texels=57836
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 10.93/11.03/11.14 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3189 cy/pump 45.73 Mcy/s 1905 cy/sample | pump worst 222.79 us peak 244.04 us | AHASH s=960000 ac1f6b61 | last_us prep=861 wait=2716 field=1401 mesh=3816 other=2340 texels=59706
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 11.13/11.24/11.34 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3134 cy/pump 44.95 Mcy/s 1873 cy/sample | pump worst 192.49 us peak 244.04 us | AHASH s=984000 7d9a66e0 | last_us prep=857 wait=2711 field=1402 mesh=4014 other=2348 texels=61340
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.33/11.40/11.51 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3202 cy/pump 45.91 Mcy/s 1912 cy/sample | pump worst 214.60 us peak 244.04 us | AHASH s=1008000 28199a98 | last_us prep=859 wait=2714 field=1402 mesh=4103 other=2354 texels=62266
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.39/11.43/11.61 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3175 cy/pump 45.54 Mcy/s 1897 cy/sample | pump worst 191.17 us peak 244.04 us | AHASH s=1032000 9add302a | last_us prep=856 wait=2717 field=1402 mesh=4079 other=2357 texels=62230
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.26/11.35/11.61 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3073 cy/pump 44.08 Mcy/s 1836 cy/sample | pump worst 222.55 us peak 244.04 us | AHASH s=1056000 1e28e9ed | last_us prep=860 wait=2700 field=1402 mesh=3938 other=2363 texels=61336
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.19/11.23/11.44 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2998 cy/pump 42.99 Mcy/s 1791 cy/sample | pump worst 188.30 us peak 244.04 us | AHASH s=1080000 3c7d4ec6 | last_us prep=868 wait=2697 field=1402 mesh=3872 other=2368 texels=61096
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.20/11.25/11.39 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3196 cy/pump 45.84 Mcy/s 1909 cy/sample | pump worst 208.11 us peak 244.04 us | AHASH s=1104000 e1c23e65 | last_us prep=870 wait=2704 field=1402 mesh=3948 other=2367 texels=61506
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.27/11.35/11.49 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3027 cy/pump 43.41 Mcy/s 1808 cy/sample | pump worst 189.99 us peak 244.04 us | AHASH s=1128000 d653cc4b | last_us prep=864 wait=2695 field=1402 mesh=4067 other=2371 texels=62848
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 11.40/14.82/17.81 | fps 53.8 | tri 1151 | fill 623 win 988 under 0 | synth 3031 cy/pump 43.47 Mcy/s 1842 cy/sample | pump worst 203.02 us peak 244.04 us | AHASH s=1152000 d551acbe | last_us prep=889 wait=2667 field=0 mesh=5346 other=8872 texels=35158
T t=49.2 bar=24 sec=2 dma=1 interp=1 | render ms 13.54/14.61/17.79 | fps 47.8 | tri 1151 | fill 623 win 988 under 0 | synth 2922 cy/pump 41.90 Mcy/s 1717 cy/sample | pump worst 207.96 us peak 244.04 us | AHASH s=1176000 6a4c0629 | last_us prep=873 wait=2717 field=0 mesh=5310 other=4721 texels=32848
T t=50.2 bar=25 sec=2 dma=1 interp=1 | render ms 13.55/13.58/13.74 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3081 cy/pump 44.19 Mcy/s 1841 cy/sample | pump worst 224.27 us peak 244.04 us | AHASH s=1200000 a08fa215 | last_us prep=884 wait=2686 field=0 mesh=5294 other=4726 texels=32592
T t=51.2 bar=25 sec=2 dma=1 interp=1 | render ms 13.53/13.59/13.73 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3061 cy/pump 43.90 Mcy/s 1829 cy/sample | pump worst 191.87 us peak 244.04 us | AHASH s=1224000 9264ba64 | last_us prep=882 wait=2677 field=0 mesh=5356 other=4730 texels=34230
T t=52.2 bar=26 sec=2 dma=1 interp=1 | render ms 13.64/13.74/13.83 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2941 cy/pump 42.18 Mcy/s 1757 cy/sample | pump worst 201.64 us peak 244.04 us | AHASH s=1248000 18ee20fb | last_us prep=879 wait=2685 field=0 mesh=5549 other=4723 texels=37438
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 13.83/13.92/14.04 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2872 cy/pump 41.19 Mcy/s 1716 cy/sample | pump worst 191.40 us peak 244.04 us | AHASH s=1272000 a8991741 | last_us prep=885 wait=2691 field=0 mesh=5752 other=4716 texels=40786
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.03/14.13/14.23 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3077 cy/pump 44.12 Mcy/s 1838 cy/sample | pump worst 195.13 us peak 244.04 us | AHASH s=1296000 57fec29a | last_us prep=886 wait=2696 field=0 mesh=5944 other=4704 texels=43612
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.19/14.27/14.37 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3020 cy/pump 43.32 Mcy/s 1804 cy/sample | pump worst 197.65 us peak 244.04 us | AHASH s=1320000 085403c0 | last_us prep=891 wait=2673 field=0 mesh=6037 other=4690 texels=44418
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 14.13/14.22/14.45 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3085 cy/pump 44.24 Mcy/s 1843 cy/sample | pump worst 219.87 us peak 244.04 us | AHASH s=1344000 3ae3bec3 | last_us prep=888 wait=2677 field=0 mesh=5884 other=4688 texels=42206
