SELFTEST accelerator=0 (real SIO registers)
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 8.77/8.81/8.93 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2229 cy/pump 31.97 Mcy/s 1331 cy/sample | pump worst 183.07 us peak 217.88 us | AHASH s=456000 6e6f93a2 | last_us prep=862 wait=2693 field=1413 mesh=1667 other=2197 texels=42118
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.83/8.86/8.99 | fps 59.7 | tri 1141 | fill 623 win 988 under 0 | synth 2506 cy/pump 35.94 Mcy/s 1497 cy/sample | pump worst 171.18 us peak 217.88 us | AHASH s=480000 d36991df | last_us prep=858 wait=2688 field=1412 mesh=1700 other=2200 texels=42338
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.87/8.90/9.08 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 2324 cy/pump 33.33 Mcy/s 1389 cy/sample | pump worst 172.61 us peak 217.88 us | AHASH s=504000 b35155a7 | last_us prep=860 wait=2721 field=1413 mesh=1758 other=2204 texels=42694
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.92/8.96/9.09 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2266 cy/pump 32.50 Mcy/s 1354 cy/sample | pump worst 170.47 us peak 217.88 us | AHASH s=528000 f86f406a | last_us prep=858 wait=2711 field=1413 mesh=1808 other=2205 texels=43012
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.98/9.01/9.15 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2353 cy/pump 33.74 Mcy/s 1405 cy/sample | pump worst 190.28 us peak 217.88 us | AHASH s=552000 a6c6ef58 | last_us prep=856 wait=2713 field=1413 mesh=1847 other=2230 texels=43190
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.02/9.06/9.18 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2626 cy/pump 37.65 Mcy/s 1569 cy/sample | pump worst 196.67 us peak 217.88 us | AHASH s=576000 6613dad2 | last_us prep=865 wait=2729 field=1412 mesh=1890 other=2219 texels=43370
T t=25.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.08/9.13/9.29 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3010 cy/pump 43.16 Mcy/s 1798 cy/sample | pump worst 198.34 us peak 217.88 us | AHASH s=600000 107657d0 | last_us prep=865 wait=2683 field=1412 mesh=1976 other=2225 texels=43706
T t=26.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.17/9.23/9.36 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 3175 cy/pump 45.54 Mcy/s 1897 cy/sample | pump worst 216.18 us peak 217.88 us | AHASH s=624000 94e5902f | last_us prep=864 wait=2686 field=1413 mesh=2060 other=2231 texels=44262
T t=27.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.27/9.34/9.48 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3125 cy/pump 44.82 Mcy/s 1866 cy/sample | pump worst 202.72 us peak 217.88 us | AHASH s=648000 bfa3b864 | last_us prep=857 wait=2703 field=1412 mesh=2192 other=2239 texels=45248
T t=28.0 bar=14 sec=1 dma=1 interp=1 | render ms 9.40/9.49/9.60 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3056 cy/pump 43.83 Mcy/s 1826 cy/sample | pump worst 194.28 us peak 217.88 us | AHASH s=672000 5eac1f98 | last_us prep=856 wait=2696 field=1411 mesh=2346 other=2242 texels=46518
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 9.55/9.64/9.74 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 2979 cy/pump 42.72 Mcy/s 1780 cy/sample | pump worst 216.21 us peak 217.88 us | AHASH s=696000 09e617c9 | last_us prep=857 wait=2702 field=1413 mesh=2474 other=2252 texels=47650
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.70/9.78/9.86 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3180 cy/pump 45.60 Mcy/s 1900 cy/sample | pump worst 211.29 us peak 217.88 us | AHASH s=720000 be19da37 | last_us prep=883 wait=2678 field=1410 mesh=2604 other=2261 texels=48598
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.83/9.91/10.02 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3106 cy/pump 44.54 Mcy/s 1855 cy/sample | pump worst 224.37 us peak 224.37 us | AHASH s=744000 52be3c85 | last_us prep=857 wait=2708 field=1412 mesh=2727 other=2271 texels=49472
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 9.97/10.01/10.16 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3197 cy/pump 45.85 Mcy/s 1910 cy/sample | pump worst 196.01 us peak 224.37 us | AHASH s=768000 55e15374 | last_us prep=852 wait=2718 field=1411 mesh=2799 other=2276 texels=50120
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 10.04/10.10/10.26 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 3016 cy/pump 43.26 Mcy/s 1802 cy/sample | pump worst 201.31 us peak 224.37 us | AHASH s=792000 7e177c80 | last_us prep=861 wait=2698 field=1413 mesh=2869 other=2290 texels=51021
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.12/10.19/10.33 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3189 cy/pump 45.73 Mcy/s 1905 cy/sample | pump worst 212.15 us peak 224.37 us | AHASH s=816000 54124986 | last_us prep=861 wait=2695 field=1411 mesh=2970 other=2295 texels=52196
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.25/10.34/10.44 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3135 cy/pump 44.97 Mcy/s 1873 cy/sample | pump worst 209.10 us peak 224.37 us | AHASH s=840000 1849291d | last_us prep=859 wait=2719 field=1414 mesh=3141 other=2306 texels=53708
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.43/10.50/10.64 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3196 cy/pump 45.83 Mcy/s 1909 cy/sample | pump worst 197.22 us peak 224.37 us | AHASH s=864000 949e9bd3 | last_us prep=858 wait=2696 field=1411 mesh=3250 other=2309 texels=54832
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.54/10.58/10.70 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3180 cy/pump 45.61 Mcy/s 1900 cy/sample | pump worst 226.65 us peak 226.65 us | AHASH s=888000 bfc55096 | last_us prep=854 wait=2714 field=1412 mesh=3319 other=2316 texels=55572
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.62/10.68/10.78 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3080 cy/pump 44.17 Mcy/s 1840 cy/sample | pump worst 192.56 us peak 226.65 us | AHASH s=912000 aa750f33 | last_us prep=859 wait=2703 field=1411 mesh=3455 other=2326 texels=56596
