T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 13.16/13.23/13.33 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2577 cy/pump 36.95 Mcy/s 1539 cy/sample | pump worst 165.72 us peak 209.69 us | AHASH s=552000 a6c6ef58 | last_us prep=5955 wait=1 field=1353 mesh=1798 other=4102 texels=43198
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 13.21/13.27/13.42 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 2856 cy/pump 40.95 Mcy/s 1706 cy/sample | pump worst 220.79 us peak 220.79 us | AHASH s=576000 6613dad2 | last_us prep=6025 wait=2 field=1356 mesh=1841 other=4103 texels=43361
T t=25.1 bar=12 sec=1 dma=1 interp=1 | render ms 13.29/13.35/13.48 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 3220 cy/pump 46.18 Mcy/s 1923 cy/sample | pump worst 214.33 us peak 220.79 us | AHASH s=600000 107657d0 | last_us prep=5992 wait=2 field=1352 mesh=1922 other=4117 texels=43704
T t=26.1 bar=13 sec=1 dma=1 interp=1 | render ms 13.37/13.46/13.56 | fps 59.7 | tri 1145 | fill 623 win 988 under 0 | synth 3399 cy/pump 48.75 Mcy/s 2031 cy/sample | pump worst 219.39 us peak 220.79 us | AHASH s=624000 94e5902f | last_us prep=6012 wait=1 field=1355 mesh=2003 other=4126 texels=44276
T t=27.1 bar=13 sec=1 dma=1 interp=1 | render ms 13.49/13.56/13.63 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 3333 cy/pump 47.80 Mcy/s 1992 cy/sample | pump worst 221.92 us peak 221.92 us | AHASH s=648000 bfa3b864 | last_us prep=5973 wait=1 field=1362 mesh=2130 other=4134 texels=45292
T t=28.1 bar=14 sec=1 dma=1 interp=1 | render ms 13.61/13.70/13.80 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3270 cy/pump 46.89 Mcy/s 1953 cy/sample | pump worst 209.58 us peak 221.92 us | AHASH s=672000 5eac1f98 | last_us prep=5977 wait=1 field=1356 mesh=2281 other=4150 texels=46510
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 13.77/13.87/13.96 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3186 cy/pump 45.70 Mcy/s 1904 cy/sample | pump worst 186.89 us peak 221.92 us | AHASH s=696000 09e617c9 | last_us prep=6005 wait=1 field=1353 mesh=2403 other=4156 texels=47638
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 13.90/13.99/14.11 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3406 cy/pump 48.85 Mcy/s 2035 cy/sample | pump worst 233.50 us peak 233.50 us | AHASH s=720000 be19da37 | last_us prep=5967 wait=2 field=1357 mesh=2529 other=4172 texels=48610
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 14.01/14.11/14.20 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3324 cy/pump 47.68 Mcy/s 1986 cy/sample | pump worst 201.43 us peak 233.50 us | AHASH s=744000 52be3c85 | last_us prep=5973 wait=1 field=1353 mesh=2649 other=4185 texels=49494
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 14.15/14.24/14.33 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3414 cy/pump 48.97 Mcy/s 2040 cy/sample | pump worst 209.78 us peak 233.50 us | AHASH s=768000 55e15374 | last_us prep=6002 wait=1 field=1357 mesh=2720 other=4192 texels=50144
