
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 12.47/12.53/12.67 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 2324 cy/pump 33.34 Mcy/s 1389 cy/sample | pump worst 172.27 us peak 217.13 us | AHASH s=456000 6e6f93a2 | last_us prep=5505 wait=0 field=1386 mesh=1657 other=4051 texels=42118
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 12.54/12.59/12.70 | fps 59.7 | tri 1138 | fill 623 win 988 under 0 | synth 2595 cy/pump 37.22 Mcy/s 1550 cy/sample | pump worst 179.58 us peak 217.13 us | AHASH s=480000 d36991df | last_us prep=5474 wait=0 field=1385 mesh=1687 other=4054 texels=42344
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 12.57/12.64/12.77 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2411 cy/pump 34.57 Mcy/s 1440 cy/sample | pump worst 168.56 us peak 217.13 us | AHASH s=504000 b35155a7 | last_us prep=5479 wait=1 field=1385 mesh=1744 other=4061 texels=42686
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 12.65/12.70/12.84 | fps 59.7 | tri 1141 | fill 623 win 988 under 0 | synth 2350 cy/pump 33.71 Mcy/s 1404 cy/sample | pump worst 185.18 us peak 217.13 us | AHASH s=528000 f86f406a | last_us prep=5452 wait=0 field=1386 mesh=1799 other=4062 texels=43014
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 12.69/12.75/12.87 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2452 cy/pump 35.16 Mcy/s 1464 cy/sample | pump worst 168.06 us peak 217.13 us | AHASH s=552000 a6c6ef58 | last_us prep=5478 wait=0 field=1387 mesh=1832 other=4073 texels=43192
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 12.74/12.79/12.91 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2727 cy/pump 39.11 Mcy/s 1629 cy/sample | pump worst 194.21 us peak 217.13 us | AHASH s=576000 6613dad2 | last_us prep=5474 wait=0 field=1386 mesh=1880 other=4084 texels=43366
T t=25.1 bar=12 sec=1 dma=1 interp=1 | render ms 12.80/12.87/13.00 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3090 cy/pump 44.31 Mcy/s 1846 cy/sample | pump worst 193.08 us peak 217.13 us | AHASH s=600000 107657d0 | last_us prep=5460 wait=0 field=1386 mesh=1962 other=4088 texels=43704
T t=26.1 bar=13 sec=1 dma=1 interp=1 | render ms 12.89/12.98/13.08 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3261 cy/pump 46.77 Mcy/s 1948 cy/sample | pump worst 204.78 us peak 217.13 us | AHASH s=624000 94e5902f | last_us prep=5480 wait=1 field=1386 mesh=2050 other=4101 texels=44278
T t=27.1 bar=13 sec=1 dma=1 interp=1 | render ms 13.00/13.10/13.21 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 3210 cy/pump 46.04 Mcy/s 1918 cy/sample | pump worst 196.30 us peak 217.13 us | AHASH s=648000 bfa3b864 | last_us prep=5483 wait=0 field=1387 mesh=2176 other=4110 texels=45294
T t=28.1 bar=14 sec=1 dma=1 interp=1 | render ms 13.14/13.24/13.33 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3130 cy/pump 44.89 Mcy/s 1870 cy/sample | pump worst 211.04 us peak 217.13 us | AHASH s=672000 5eac1f98 | last_us prep=5436 wait=0 field=1387 mesh=2331 other=4120 texels=46528
