SELFTEST accelerator=0 (software model)
T t=19.0 bar=9 sec=1 dma=0 interp=0 | render ms 10.40/10.45/10.50 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2197 cy/pump 31.50 Mcy/s 1313 cy/sample | pump worst 146.08 us peak 205.21 us | AHASH s=456000 6e6f93a2 | last_us prep=4586 wait=0 field=1952 mesh=1727 other=2210 texels=42118
T t=20.0 bar=10 sec=1 dma=0 interp=0 | render ms 10.47/10.51/10.60 | fps 59.7 | tri 1141 | fill 623 win 988 under 0 | synth 2477 cy/pump 35.52 Mcy/s 1479 cy/sample | pump worst 166.65 us peak 205.21 us | AHASH s=480000 d36991df | last_us prep=4580 wait=0 field=1952 mesh=1764 other=2214 texels=42338
T t=21.0 bar=10 sec=1 dma=0 interp=0 | render ms 10.51/10.56/10.63 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 2293 cy/pump 32.88 Mcy/s 1370 cy/sample | pump worst 173.55 us peak 205.21 us | AHASH s=504000 b35155a7 | last_us prep=4592 wait=0 field=1953 mesh=1829 other=2217 texels=42694
T t=22.0 bar=11 sec=1 dma=0 interp=0 | render ms 10.58/10.63/10.71 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2239 cy/pump 32.12 Mcy/s 1338 cy/sample | pump worst 166.76 us peak 205.21 us | AHASH s=528000 f86f406a | last_us prep=4591 wait=0 field=1952 mesh=1884 other=2221 texels=43012
T t=23.0 bar=11 sec=1 dma=0 interp=0 | render ms 10.63/10.68/10.74 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2320 cy/pump 33.27 Mcy/s 1386 cy/sample | pump worst 166.49 us peak 205.21 us | AHASH s=552000 a6c6ef58 | last_us prep=4587 wait=0 field=1953 mesh=1928 other=2226 texels=43190
T t=24.0 bar=12 sec=1 dma=0 interp=0 | render ms 10.68/10.73/10.81 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2595 cy/pump 37.21 Mcy/s 1550 cy/sample | pump worst 199.21 us peak 205.21 us | AHASH s=576000 6613dad2 | last_us prep=4616 wait=0 field=1955 mesh=1976 other=2234 texels=43370
T t=25.0 bar=12 sec=1 dma=0 interp=0 | render ms 10.74/10.81/10.89 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 2982 cy/pump 42.77 Mcy/s 1781 cy/sample | pump worst 177.71 us peak 205.21 us | AHASH s=600000 107657d0 | last_us prep=4579 wait=0 field=1952 mesh=2071 other=2237 texels=43708
T t=26.0 bar=13 sec=1 dma=0 interp=0 | render ms 10.83/10.93/10.98 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3150 cy/pump 45.17 Mcy/s 1882 cy/sample | pump worst 218.49 us peak 218.49 us | AHASH s=624000 94e5902f | last_us prep=4586 wait=0 field=1954 mesh=2163 other=2245 texels=44264
T t=27.0 bar=13 sec=1 dma=0 interp=0 | render ms 10.95/11.04/11.14 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3098 cy/pump 44.42 Mcy/s 1850 cy/sample | pump worst 190.64 us peak 218.49 us | AHASH s=648000 bfa3b864 | last_us prep=4601 wait=0 field=1953 mesh=2313 other=2254 texels=45250
T t=28.0 bar=14 sec=1 dma=0 interp=0 | render ms 11.10/11.21/11.34 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3023 cy/pump 43.36 Mcy/s 1807 cy/sample | pump worst 204.09 us peak 218.49 us | AHASH s=672000 5eac1f98 | last_us prep=4584 wait=0 field=1954 mesh=2492 other=2257 texels=46516
T t=29.1 bar=14 sec=1 dma=0 interp=0 | render ms 11.28/11.39/11.47 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2950 cy/pump 42.31 Mcy/s 1762 cy/sample | pump worst 172.07 us peak 218.49 us | AHASH s=696000 09e617c9 | last_us prep=4596 wait=0 field=1953 mesh=2644 other=2265 texels=47652
T t=30.1 bar=15 sec=1 dma=0 interp=0 | render ms 11.46/11.55/11.65 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3155 cy/pump 45.25 Mcy/s 1885 cy/sample | pump worst 220.22 us peak 220.22 us | AHASH s=720000 be19da37 | last_us prep=4586 wait=0 field=1955 mesh=2787 other=2273 texels=48586
T t=31.1 bar=15 sec=1 dma=0 interp=0 | render ms 11.61/11.70/11.78 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3077 cy/pump 44.13 Mcy/s 1838 cy/sample | pump worst 180.27 us peak 220.22 us | AHASH s=744000 52be3c85 | last_us prep=4586 wait=0 field=1953 mesh=2927 other=2283 texels=49470
T t=32.1 bar=16 sec=1 dma=0 interp=0 | render ms 11.74/11.81/11.87 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3170 cy/pump 45.47 Mcy/s 1894 cy/sample | pump worst 193.87 us peak 220.22 us | AHASH s=768000 55e15374 | last_us prep=4616 wait=0 field=1955 mesh=3010 other=2288 texels=50127
T t=33.1 bar=16 sec=1 dma=0 interp=0 | render ms 11.84/11.91/11.98 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 2990 cy/pump 42.88 Mcy/s 1787 cy/sample | pump worst 169.69 us peak 220.22 us | AHASH s=792000 7e177c80 | last_us prep=4576 wait=0 field=1953 mesh=3094 other=2304 texels=51029
T t=34.1 bar=17 sec=1 dma=0 interp=0 | render ms 11.92/12.01/12.11 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3153 cy/pump 45.22 Mcy/s 1884 cy/sample | pump worst 225.96 us peak 225.96 us | AHASH s=816000 54124986 | last_us prep=4607 wait=0 field=1953 mesh=3217 other=2307 texels=52200
T t=35.1 bar=17 sec=1 dma=0 interp=0 | render ms 12.08/12.19/12.31 | fps 59.7 | tri 1149 | fill 623 win 987 under 0 | synth 3109 cy/pump 44.59 Mcy/s 1857 cy/sample | pump worst 175.10 us peak 225.96 us | AHASH s=840000 1849291d | last_us prep=4573 wait=0 field=1953 mesh=3409 other=2316 texels=53704
T t=36.1 bar=18 sec=1 dma=0 interp=0 | render ms 12.28/12.37/12.45 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3169 cy/pump 45.44 Mcy/s 1894 cy/sample | pump worst 201.05 us peak 225.96 us | AHASH s=864000 949e9bd3 | last_us prep=4596 wait=0 field=1953 mesh=3538 other=2321 texels=54842
T t=37.1 bar=18 sec=1 dma=0 interp=0 | render ms 12.39/12.46/12.53 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3151 cy/pump 45.20 Mcy/s 1883 cy/sample | pump worst 177.01 us peak 225.96 us | AHASH s=888000 bfc55096 | last_us prep=4603 wait=0 field=1954 mesh=3609 other=2332 texels=55574
T t=38.1 bar=19 sec=1 dma=0 interp=0 | render ms 12.47/12.58/12.70 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3053 cy/pump 43.78 Mcy/s 1824 cy/sample | pump worst 213.08 us peak 225.96 us | AHASH s=912000 aa750f33 | last_us prep=4577 wait=0 field=1953 mesh=3771 other=2337 texels=56596
T t=39.1 bar=19 sec=1 dma=0 interp=0 | render ms 12.67/12.75/12.87 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 2972 cy/pump 42.63 Mcy/s 1776 cy/sample | pump worst 179.27 us peak 225.96 us | AHASH s=936000 2cb8f3a8 | last_us prep=4595 wait=0 field=1952 mesh=3949 other=2348 texels=57824
T t=40.1 bar=20 sec=1 dma=0 interp=0 | render ms 12.84/12.97/13.11 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3163 cy/pump 45.37 Mcy/s 1890 cy/sample | pump worst 202.46 us peak 225.96 us | AHASH s=960000 ac1f6b61 | last_us prep=4573 wait=0 field=1953 mesh=4186 other=2351 texels=59706
