
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 10.60/10.64/10.76 | fps 59.7 | tri 1146 | fill 624 win 988 under 0 | synth 2231 cy/pump 31.99 Mcy/s 1333 cy/sample | pump worst 156.28 us peak 220.08 us | AHASH s=456000 6e6f93a2 | last_us prep=853 wait=2702 field=1396 mesh=1661 other=4065 texels=42121
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 10.66/10.69/10.83 | fps 59.7 | tri 1138 | fill 624 win 988 under 0 | synth 2508 cy/pump 35.97 Mcy/s 1498 cy/sample | pump worst 177.07 us peak 220.08 us | AHASH s=480000 d36991df | last_us prep=852 wait=2738 field=1394 mesh=1690 other=4057 texels=42344
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 10.69/10.74/10.83 | fps 59.7 | tri 1147 | fill 624 win 987 under 0 | synth 2317 cy/pump 33.22 Mcy/s 1384 cy/sample | pump worst 162.54 us peak 220.08 us | AHASH s=504000 b35155a7 | last_us prep=852 wait=2712 field=1396 mesh=1749 other=4058 texels=42686
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 10.76/10.80/10.91 | fps 59.7 | tri 1141 | fill 624 win 988 under 0 | synth 2261 cy/pump 32.43 Mcy/s 1350 cy/sample | pump worst 177.80 us peak 220.08 us | AHASH s=528000 f86f406a | last_us prep=854 wait=2708 field=1395 mesh=1802 other=4064 texels=43014
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 10.82/10.85/10.98 | fps 59.7 | tri 1144 | fill 624 win 988 under 0 | synth 2356 cy/pump 33.79 Mcy/s 1407 cy/sample | pump worst 157.88 us peak 220.08 us | AHASH s=552000 a6c6ef58 | last_us prep=846 wait=2715 field=1396 mesh=1833 other=4073 texels=43192
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 10.86/10.90/11.04 | fps 59.7 | tri 1144 | fill 624 win 988 under 0 | synth 2633 cy/pump 37.76 Mcy/s 1573 cy/sample | pump worst 193.90 us peak 220.08 us | AHASH s=576000 6613dad2 | last_us prep=849 wait=2724 field=1398 mesh=1884 other=4082 texels=43367
T t=25.1 bar=12 sec=1 dma=1 interp=1 | render ms 10.92/10.97/11.11 | fps 59.7 | tri 1147 | fill 624 win 988 under 0 | synth 2997 cy/pump 42.98 Mcy/s 1790 cy/sample | pump worst 185.34 us peak 220.08 us | AHASH s=600000 107657d0 | last_us prep=849 wait=2708 field=1397 mesh=1963 other=4089 texels=43702
T t=26.1 bar=13 sec=1 dma=1 interp=1 | render ms 11.01/11.08/11.18 | fps 59.7 | tri 1145 | fill 624 win 988 under 0 | synth 3180 cy/pump 45.60 Mcy/s 1900 cy/sample | pump worst 226.82 us peak 226.82 us | AHASH s=624000 94e5902f | last_us prep=876 wait=2680 field=1397 mesh=2048 other=4102 texels=44278
T t=27.1 bar=13 sec=1 dma=1 interp=1 | render ms 11.11/11.18/11.31 | fps 59.7 | tri 1146 | fill 624 win 988 under 0 | synth 3121 cy/pump 44.76 Mcy/s 1864 cy/sample | pump worst 190.24 us peak 226.82 us | AHASH s=648000 bfa3b864 | last_us prep=854 wait=2715 field=1397 mesh=2179 other=4112 texels=45292
T t=28.1 bar=14 sec=1 dma=1 interp=1 | render ms 11.25/11.34/11.44 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 3042 cy/pump 43.62 Mcy/s 1817 cy/sample | pump worst 199.74 us peak 226.82 us | AHASH s=672000 5eac1f98 | last_us prep=850 wait=2709 field=1396 mesh=2335 other=4119 texels=46514
