
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 12.96/13.03/13.13 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 2461 cy/pump 35.29 Mcy/s 1470 cy/sample | pump worst 165.06 us peak 211.82 us | AHASH s=456000 6e6f93a2 | last_us prep=5970 wait=1 field=1373 mesh=1628 other=4072 texels=42124
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 13.02/13.07/13.16 | fps 59.7 | tri 1138 | fill 623 win 988 under 0 | synth 2723 cy/pump 39.04 Mcy/s 1627 cy/sample | pump worst 183.77 us peak 211.82 us | AHASH s=480000 d36991df | last_us prep=6020 wait=2 field=1352 mesh=1654 other=4083 texels=42342
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 13.06/13.12/13.22 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2544 cy/pump 36.48 Mcy/s 1520 cy/sample | pump worst 188.25 us peak 211.82 us | AHASH s=504000 b35155a7 | last_us prep=5993 wait=2 field=1356 mesh=1713 other=4081 texels=42692
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 13.11/13.18/13.28 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2477 cy/pump 35.52 Mcy/s 1480 cy/sample | pump worst 180.88 us peak 211.82 us | AHASH s=528000 f86f406a | last_us prep=5995 wait=1 field=1360 mesh=1765 other=4092 texels=43018
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 13.17/13.23/13.32 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2575 cy/pump 36.93 Mcy/s 1538 cy/sample | pump worst 172.59 us peak 211.82 us | AHASH s=552000 a6c6ef58 | last_us prep=5942 wait=1 field=1357 mesh=1796 other=4098 texels=43198
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 13.20/13.26/13.36 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 2845 cy/pump 40.79 Mcy/s 1699 cy/sample | pump worst 205.85 us peak 211.82 us | AHASH s=576000 6613dad2 | last_us prep=6015 wait=1 field=1353 mesh=1842 other=4106 texels=43363
T t=25.1 bar=12 sec=1 dma=1 interp=1 | render ms 13.27/13.35/13.46 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 3231 cy/pump 46.33 Mcy/s 1930 cy/sample | pump worst 214.35 us peak 214.35 us | AHASH s=600000 107657d0 | last_us prep=5963 wait=1 field=1356 mesh=1923 other=4116 texels=43702
T t=26.1 bar=13 sec=1 dma=1 interp=1 | render ms 13.38/13.45/13.53 | fps 59.7 | tri 1145 | fill 623 win 988 under 0 | synth 3400 cy/pump 48.77 Mcy/s 2032 cy/sample | pump worst 229.17 us peak 229.17 us | AHASH s=624000 94e5902f | last_us prep=5973 wait=1 field=1362 mesh=2003 other=4125 texels=44266
T t=27.1 bar=13 sec=1 dma=1 interp=1 | render ms 13.48/13.57/13.69 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3344 cy/pump 47.96 Mcy/s 1998 cy/sample | pump worst 219.80 us peak 229.17 us | AHASH s=648000 bfa3b864 | last_us prep=6009 wait=2 field=1355 mesh=2133 other=4134 texels=45268
T t=28.1 bar=14 sec=1 dma=1 interp=1 | render ms 13.59/13.70/13.79 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3265 cy/pump 46.82 Mcy/s 1950 cy/sample | pump worst 202.44 us peak 229.17 us | AHASH s=672000 5eac1f98 | last_us prep=6007 wait=2 field=1355 mesh=2278 other=4144 texels=46518
