SELFTEST accelerator=0 (real SIO registers)
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 8.77/8.81/8.98 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 2232 cy/pump 32.01 Mcy/s 1333 cy/sample | pump worst 157.51 us peak 223.03 us | AHASH s=456000 6e6f93a2 | last_us prep=858 wait=2704 field=1411 mesh=1670 other=2198 texels=42122
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.84/8.87/9.06 | fps 59.7 | tri 1141 | fill 623 win 988 under 0 | synth 2512 cy/pump 36.03 Mcy/s 1501 cy/sample | pump worst 197.37 us peak 223.03 us | AHASH s=480000 d36991df | last_us prep=857 wait=2716 field=1412 mesh=1700 other=2202 texels=42338
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.87/8.91/9.06 | fps 59.7 | tri 1145 | fill 623 win 988 under 0 | synth 2319 cy/pump 33.26 Mcy/s 1386 cy/sample | pump worst 157.52 us peak 223.03 us | AHASH s=504000 b35155a7 | last_us prep=862 wait=2696 field=1413 mesh=1757 other=2204 texels=42696
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.93/8.97/9.12 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2262 cy/pump 32.44 Mcy/s 1352 cy/sample | pump worst 161.23 us peak 223.03 us | AHASH s=528000 f86f406a | last_us prep=855 wait=2721 field=1412 mesh=1806 other=2207 texels=43012
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.99/9.02/9.15 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2352 cy/pump 33.74 Mcy/s 1405 cy/sample | pump worst 161.67 us peak 223.03 us | AHASH s=552000 a6c6ef58 | last_us prep=864 wait=2696 field=1413 mesh=1847 other=2214 texels=43190
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.02/9.06/9.24 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2626 cy/pump 37.66 Mcy/s 1569 cy/sample | pump worst 198.54 us peak 223.03 us | AHASH s=576000 6613dad2 | last_us prep=857 wait=2743 field=1412 mesh=1891 other=2222 texels=43370
T t=25.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.09/9.14/9.25 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3006 cy/pump 43.11 Mcy/s 1796 cy/sample | pump worst 188.66 us peak 223.03 us | AHASH s=600000 107657d0 | last_us prep=861 wait=2704 field=1412 mesh=1978 other=2227 texels=43708
T t=26.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.16/9.24/9.31 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3176 cy/pump 45.55 Mcy/s 1898 cy/sample | pump worst 244.73 us peak 244.73 us | AHASH s=624000 94e5902f | last_us prep=857 wait=2714 field=1412 mesh=2059 other=2232 texels=44262
T t=27.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.28/9.35/9.44 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3127 cy/pump 44.85 Mcy/s 1868 cy/sample | pump worst 191.40 us peak 244.73 us | AHASH s=648000 bfa3b864 | last_us prep=860 wait=2693 field=1412 mesh=2190 other=2241 texels=45252
T t=28.0 bar=14 sec=1 dma=1 interp=1 | render ms 9.41/9.49/9.59 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3051 cy/pump 43.75 Mcy/s 1823 cy/sample | pump worst 201.98 us peak 244.73 us | AHASH s=672000 5eac1f98 | last_us prep=859 wait=2725 field=1411 mesh=2345 other=2247 texels=46516
