
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 8.77/8.81/8.95 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2231 cy/pump 31.99 Mcy/s 1332 cy/sample | pump worst 156.44 us peak 218.41 us | AHASH s=456000 6e6f93a2 | last_us prep=861 wait=2697 field=1413 mesh=1668 other=2203 texels=42118
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.83/8.86/9.01 | fps 59.7 | tri 1141 | fill 623 win 988 under 0 | synth 2507 cy/pump 35.95 Mcy/s 1498 cy/sample | pump worst 171.18 us peak 218.41 us | AHASH s=480000 d36991df | last_us prep=857 wait=2710 field=1412 mesh=1701 other=2199 texels=42338
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.86/8.91/9.04 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 2330 cy/pump 33.42 Mcy/s 1391 cy/sample | pump worst 189.12 us peak 218.41 us | AHASH s=504000 b35155a7 | last_us prep=857 wait=2694 field=1413 mesh=1758 other=2203 texels=42696
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.93/8.97/9.09 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2266 cy/pump 32.50 Mcy/s 1354 cy/sample | pump worst 180.93 us peak 218.41 us | AHASH s=528000 f86f406a | last_us prep=857 wait=2699 field=1413 mesh=1807 other=2205 texels=43012
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.98/9.01/9.16 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2352 cy/pump 33.73 Mcy/s 1406 cy/sample | pump worst 162.73 us peak 218.41 us | AHASH s=552000 a6c6ef58 | last_us prep=865 wait=2705 field=1413 mesh=1848 other=2236 texels=43190
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.02/9.06/9.19 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2620 cy/pump 37.57 Mcy/s 1566 cy/sample | pump worst 202.59 us peak 218.41 us | AHASH s=576000 6613dad2 | last_us prep=861 wait=2717 field=1413 mesh=1890 other=2219 texels=43370
T t=25.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.08/9.13/9.23 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3003 cy/pump 43.06 Mcy/s 1794 cy/sample | pump worst 189.73 us peak 218.41 us | AHASH s=600000 107657d0 | last_us prep=854 wait=2714 field=1411 mesh=1978 other=2224 texels=43708
T t=26.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.18/9.23/9.33 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3177 cy/pump 45.56 Mcy/s 1898 cy/sample | pump worst 217.13 us peak 218.41 us | AHASH s=624000 94e5902f | last_us prep=854 wait=2706 field=1412 mesh=2058 other=2232 texels=44264
T t=27.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.27/9.34/9.42 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3125 cy/pump 44.81 Mcy/s 1867 cy/sample | pump worst 222.25 us peak 222.25 us | AHASH s=648000 bfa3b864 | last_us prep=855 wait=2719 field=1412 mesh=2192 other=2239 texels=45250
T t=28.0 bar=14 sec=1 dma=1 interp=1 | render ms 9.40/9.49/9.58 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3055 cy/pump 43.81 Mcy/s 1825 cy/sample | pump worst 202.39 us peak 222.25 us | AHASH s=672000 5eac1f98 | last_us prep=857 wait=2701 field=1411 mesh=2346 other=2244 texels=46516
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 9.55/9.65/9.71 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2983 cy/pump 42.79 Mcy/s 1783 cy/sample | pump worst 185.29 us peak 222.25 us | AHASH s=696000 09e617c9 | last_us prep=852 wait=2719 field=1412 mesh=2476 other=2250 texels=47652
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.71/9.78/9.88 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3184 cy/pump 45.66 Mcy/s 1902 cy/sample | pump worst 220.08 us peak 222.25 us | AHASH s=720000 be19da37 | last_us prep=861 wait=2712 field=1409 mesh=2604 other=2262 texels=48584
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.85/9.91/10.00 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3105 cy/pump 44.53 Mcy/s 1855 cy/sample | pump worst 218.95 us peak 222.25 us | AHASH s=744000 52be3c85 | last_us prep=853 wait=2706 field=1412 mesh=2726 other=2270 texels=49470
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 9.97/10.01/10.14 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3197 cy/pump 45.85 Mcy/s 1910 cy/sample | pump worst 201.57 us peak 222.25 us | AHASH s=768000 55e15374 | last_us prep=862 wait=2695 field=1411 mesh=2800 other=2278 texels=50120
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 10.05/10.10/10.20 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 3013 cy/pump 43.20 Mcy/s 1800 cy/sample | pump worst 184.93 us peak 222.25 us | AHASH s=792000 7e177c80 | last_us prep=866 wait=2710 field=1412 mesh=2869 other=2287 texels=51023
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.12/10.19/10.32 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3190 cy/pump 45.75 Mcy/s 1906 cy/sample | pump worst 217.13 us peak 222.25 us | AHASH s=816000 54124986 | last_us prep=858 wait=2713 field=1411 mesh=2970 other=2298 texels=52204
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.25/10.34/10.43 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3133 cy/pump 44.94 Mcy/s 1872 cy/sample | pump worst 206.37 us peak 222.25 us | AHASH s=840000 1849291d | last_us prep=852 wait=2693 field=1412 mesh=3141 other=2303 texels=53706
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.42/10.50/10.59 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3199 cy/pump 45.88 Mcy/s 1911 cy/sample | pump worst 201.23 us peak 222.25 us | AHASH s=864000 949e9bd3 | last_us prep=861 wait=2699 field=1411 mesh=3251 other=2311 texels=54836
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.53/10.58/10.70 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3180 cy/pump 45.60 Mcy/s 1898 cy/sample | pump worst 193.42 us peak 222.25 us | AHASH s=888000 bfc55096 | last_us prep=861 wait=2696 field=1413 mesh=3315 other=2319 texels=55575
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.61/10.68/10.80 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3074 cy/pump 44.08 Mcy/s 1837 cy/sample | pump worst 211.58 us peak 222.25 us | AHASH s=912000 aa750f33 | last_us prep=860 wait=2703 field=1412 mesh=3456 other=2326 texels=56594
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.74/10.83/10.93 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 2997 cy/pump 42.98 Mcy/s 1790 cy/sample | pump worst 187.54 us peak 222.25 us | AHASH s=936000 2cb8f3a8 | last_us prep=860 wait=2706 field=1411 mesh=3612 other=2343 texels=57826
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 10.91/11.03/11.15 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3191 cy/pump 45.77 Mcy/s 1907 cy/sample | pump worst 204.93 us peak 222.25 us | AHASH s=960000 ac1f6b61 | last_us prep=857 wait=2711 field=1412 mesh=3817 other=2339 texels=59706
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 11.13/11.24/11.36 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3137 cy/pump 44.98 Mcy/s 1873 cy/sample | pump worst 192.16 us peak 222.25 us | AHASH s=984000 7d9a66e0 | last_us prep=859 wait=2701 field=1413 mesh=4015 other=2348 texels=61336
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.34/11.40/11.54 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3197 cy/pump 45.84 Mcy/s 1910 cy/sample | pump worst 219.66 us peak 222.25 us | AHASH s=1008000 28199a98 | last_us prep=864 wait=2703 field=1412 mesh=4107 other=2351 texels=62270
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.39/11.44/11.63 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3178 cy/pump 45.57 Mcy/s 1898 cy/sample | pump worst 191.67 us peak 222.25 us | AHASH s=1032000 9add302a | last_us prep=861 wait=2699 field=1412 mesh=4079 other=2365 texels=62224
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.27/11.35/11.57 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3070 cy/pump 44.03 Mcy/s 1835 cy/sample | pump worst 203.53 us peak 222.25 us | AHASH s=1056000 1e28e9ed | last_us prep=861 wait=2695 field=1412 mesh=3937 other=2361 texels=61334
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.19/11.23/11.44 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2995 cy/pump 42.95 Mcy/s 1789 cy/sample | pump worst 197.80 us peak 222.25 us | AHASH s=1080000 3c7d4ec6 | last_us prep=860 wait=2697 field=1412 mesh=3874 other=2368 texels=61096
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.20/11.26/11.41 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3194 cy/pump 45.80 Mcy/s 1908 cy/sample | pump worst 218.37 us peak 222.25 us | AHASH s=1104000 e1c23e65 | last_us prep=857 wait=2695 field=1412 mesh=3945 other=2368 texels=61504
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.29/11.34/11.45 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3027 cy/pump 43.41 Mcy/s 1808 cy/sample | pump worst 227.85 us peak 227.85 us | AHASH s=1128000 d653cc4b | last_us prep=859 wait=2715 field=1413 mesh=4064 other=2372 texels=62848
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 11.40/14.03/16.42 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3084 cy/pump 44.22 Mcy/s 1842 cy/sample | pump worst 204.39 us peak 227.85 us | AHASH s=1152000 d551acbe | last_us prep=884 wait=2677 field=0 mesh=5348 other=7420 texels=35186
T t=49.1 bar=24 sec=2 dma=1 interp=1 | render ms 13.54/14.70/16.56 | fps 58.7 | tri 1151 | fill 623 win 988 under 0 | synth 3029 cy/pump 43.44 Mcy/s 1810 cy/sample | pump worst 199.37 us peak 227.85 us | AHASH s=1176000 6a4c0629 | last_us prep=879 wait=2689 field=0 mesh=5309 other=4733 texels=32880
T t=50.1 bar=25 sec=2 dma=1 interp=1 | render ms 13.54/13.58/13.73 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3084 cy/pump 44.23 Mcy/s 1843 cy/sample | pump worst 213.89 us peak 227.85 us | AHASH s=1200000 a08fa215 | last_us prep=890 wait=2678 field=0 mesh=5289 other=4727 texels=32576
T t=51.1 bar=25 sec=2 dma=1 interp=1 | render ms 13.52/13.58/13.72 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3060 cy/pump 43.89 Mcy/s 1828 cy/sample | pump worst 223.67 us peak 227.85 us | AHASH s=1224000 9264ba64 | last_us prep=884 wait=2689 field=0 mesh=5354 other=4750 texels=34148
T t=52.1 bar=26 sec=2 dma=1 interp=1 | render ms 13.62/13.73/13.83 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2941 cy/pump 42.17 Mcy/s 1757 cy/sample | pump worst 187.69 us peak 227.85 us | AHASH s=1248000 18ee20fb | last_us prep=884 wait=2676 field=0 mesh=5542 other=4721 texels=37388
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 13.81/13.91/14.02 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2873 cy/pump 41.21 Mcy/s 1717 cy/sample | pump worst 184.77 us peak 227.85 us | AHASH s=1272000 a8991741 | last_us prep=881 wait=2676 field=0 mesh=5745 other=4712 texels=40724
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.02/14.12/14.22 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3084 cy/pump 44.23 Mcy/s 1843 cy/sample | pump worst 213.00 us peak 227.85 us | AHASH s=1296000 57fec29a | last_us prep=884 wait=2696 field=0 mesh=5935 other=4702 texels=43576
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.19/14.26/14.32 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3015 cy/pump 43.24 Mcy/s 1801 cy/sample | pump worst 189.25 us peak 227.85 us | AHASH s=1320000 085403c0 | last_us prep=877 wait=2684 field=0 mesh=6041 other=4690 texels=44458
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 14.12/14.22/14.40 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3082 cy/pump 44.19 Mcy/s 1842 cy/sample | pump worst 193.54 us peak 227.85 us | AHASH s=1344000 3ae3bec3 | last_us prep=873 wait=2694 field=0 mesh=5890 other=4689 texels=42332
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 13.78/13.98/14.27 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3057 cy/pump 43.83 Mcy/s 1826 cy/sample | pump worst 225.10 us peak 227.85 us | AHASH s=1368000 9306c33b | last_us prep=880 wait=2682 field=0 mesh=5554 other=4699 texels=38424
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.58/13.69/13.93 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2943 cy/pump 42.20 Mcy/s 1758 cy/sample | pump worst 198.61 us peak 227.85 us | AHASH s=1392000 6c4eef5e | last_us prep=879 wait=2671 field=0 mesh=5321 other=4719 texels=35896
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.40/13.50/13.71 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2877 cy/pump 41.27 Mcy/s 1719 cy/sample | pump worst 182.89 us peak 227.85 us | AHASH s=1416000 c4e6d69f | last_us prep=882 wait=2668 field=0 mesh=5138 other=4756 texels=33910
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.33/13.38/13.54 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3078 cy/pump 44.13 Mcy/s 1839 cy/sample | pump worst 194.78 us peak 227.85 us | AHASH s=1440000 e033e03e | last_us prep=880 wait=2682 field=0 mesh=5095 other=4731 texels=32810
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.38/13.42/13.52 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3022 cy/pump 43.34 Mcy/s 1806 cy/sample | pump worst 225.09 us peak 227.85 us | AHASH s=1464000 8511090b | last_us prep=882 wait=2685 field=0 mesh=5198 other=4729 texels=33058
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.46/13.59/13.73 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3085 cy/pump 44.24 Mcy/s 1843 cy/sample | pump worst 203.00 us peak 227.85 us | AHASH s=1488000 cd59b295 | last_us prep=889 wait=2676 field=0 mesh=5420 other=4729 texels=35332
