opened COM10
bytes received: 24510


=== PERSISTENCE (LATENT) === sys_clk 300000000 Hz

[f= 1919 kefrens  ] line  1572/ 1739 cy (mean/worst) | slips 0 | prep  1148 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.72 fps 23896 sps | AHASH s=768000 11e2e947

[f= 1979 kefrens  ] line  1573/ 1741 cy (mean/worst) | slips 0 | prep  1149 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.72 fps 23896 sps | AHASH s=792000 1af111c3

[f= 2039 kefrens  ] line  1573/ 1751 cy (mean/worst) | slips 0 | prep  1154 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=816000 eba4619a

[f= 2099 kefrens  ] line  1673/ 1937 cy (mean/worst) | slips 0 | prep  1159 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=840000 5f024002

[f= 2159 kefrens  ] line  1673/ 1955 cy (mean/worst) | slips 0 | prep  1150 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=864000 08ae9621

[f= 2219 kefrens  ] line  1672/ 1949 cy (mean/worst) | slips 0 | prep  1152 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=888000 2fab68c0

[f= 2279 kefrens  ] line  1672/ 1949 cy (mean/worst) | slips 0 | prep  1155 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=912000 e8f234e2

[f= 2339 kefrens  ] line  1673/ 1942 cy (mean/worst) | slips 0 | prep  1154 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=936000 f88cf668

[f= 2399 kefrens  ] line  1673/ 1964 cy (mean/worst) | slips 0 | prep  1156 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=960000 75a2c4f1

[f= 2459 twister  ] line  2741/ 3713 cy (mean/worst) | slips 0 | prep  1727 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=984000 d5f01c70

[f= 2519 twister  ] line  3466/ 3792 cy (mean/worst) | slips 0 | prep  1696 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=1008000 95b8c3b9

[f= 2579 twister  ] line  3464/ 3867 cy (mean/worst) | slips 0 | prep  1527 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=1032000 7161f76e

[f= 2639 twister  ] line  3468/ 3728 cy (mean/worst) | slips 0 | prep  1533 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1056000 96f34975

[f= 2699 twister  ] line  3462/ 3726 cy (mean/worst) | slips 0 | prep  1534 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=1080000 dc3772fd

[f= 2759 twister  ] line  3464/ 3831 cy (mean/worst) | slips 0 | prep  1521 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=1104000 c8f158a1

[f= 2819 twister  ] line  3465/ 3764 cy (mean/worst) | slips 0 | prep  1528 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1128000 0780fc7e

[f= 2879 twister  ] line  3463/ 3725 cy (mean/worst) | slips 0 | prep  1527 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=1152000 58b766af

[f= 2939 twister  ] line  3466/ 3804 cy (mean/worst) | slips 0 | prep  1525 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=1176000 cb700e33

[f= 2999 twister  ] line  3462/ 3843 cy (mean/worst) | slips 0 | prep  1539 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1200000 c58eedff

[f= 3059 twister  ] line  3465/ 3802 cy (mean/worst) | slips 0 | prep  1522 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1224000 3c493321

[f= 3119 twister  ] line  3466/ 3781 cy (mean/worst) | slips 0 | prep  1528 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.73 fps 23896 sps | AHASH s=1248000 38531471

[f= 3179 twister  ] line  2580/ 3826 cy (mean/worst) | slips 0 | prep  1527 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1272000 f22329b8

[f= 3239 tunnel   ] line  6506/ 7789 cy (mean/worst) | slips 0 | prep 10852 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1296000 b2a68946

[f= 3299 tunnel   ] line  7268/ 7795 cy (mean/worst) | slips 0 | prep  1015 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1320000 2fe55738

[f= 3359 tunnel   ] line  7253/ 7795 cy (mean/worst) | slips 0 | prep   999 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1344000 4438853f

[f= 3419 tunnel   ] line  7248/ 7789 cy (mean/worst) | slips 0 | prep  1001 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1368000 7242745c

[f= 3479 tunnel   ] line  7246/ 7754 cy (mean/worst) | slips 0 | prep  1010 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1392000 119edf40

[f= 3539 tunnel   ] line  7252/ 7768 cy (mean/worst) | slips 0 | prep  1004 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1416000 792b97fa

[f= 3599 tunnel   ] line  7257/ 7782 cy (mean/worst) | slips 0 | prep  1006 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1440000 41419bc7

[f= 3659 tunnel   ] line  7262/ 7786 cy (mean/worst) | slips 0 | prep  1000 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1464000 cac82375

[f= 3719 tunnel   ] line  7267/ 7777 cy (mean/worst) | slips 0 | prep  1003 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1488000 c8ae9726

[f= 3779 tunnel   ] line  7266/ 7795 cy (mean/worst) | slips 0 | prep  1005 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.75 fps 23896 sps | AHASH s=1512000 e2df5869

[f= 3839 tunnel   ] line  7273/ 7801 cy (mean/worst) | slips 0 | prep  1005 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1536000 54950dc3

[f= 3899 tunnel   ] line  7262/ 7792 cy (mean/worst) | slips 0 | prep  1018 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1560000 3017d35d

[f= 3959 tunnel   ] line  7270/ 7799 cy (mean/worst) | slips 0 | prep  1003 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.74 fps 23896 sps | AHASH s=1584000 2eaa7e2b

[f= 4019 plane    ] line  2278/ 7797 cy (mean/worst) | slips 0 | prep 22756 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.75 fps 23896 sps | AHASH s=1608000 6f7ad76a

[f= 4079 plane    ] line  3456/ 7773 cy (mean/worst) | slips 0 | prep  1222 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1632000 52be80db

[f= 4139 plane    ] line  3457/ 3751 cy (mean/worst) | slips 0 | prep  1225 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1656000 4bda0774

[f= 4199 plane    ] line  3462/ 3760 cy (mean/worst) | slips 0 | prep  1234 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1680000 e8fce424

[f= 4259 plane    ] line  3461/ 3754 cy (mean/worst) | slips 0 | prep  1228 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1704000 34c236ac

[f= 4319 plane    ] line  3023/ 5508 cy (mean/worst) | slips 0 | prep  5955 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.75 fps 23896 sps | AHASH s=1728000 6fbd22af

[f= 4379 plane    ] line  3133/ 5564 cy (mean/worst) | slips 0 | prep  6041 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.75 fps 23896 sps | AHASH s=1752000 4cbf7bc0

[f= 4439 plane    ] line  3028/ 5541 cy (mean/worst) | slips 0 | prep  4115 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.75 fps 23896 sps | AHASH s=1776000 e35d8c83

[f= 4499 plane    ] line  3041/ 5273 cy (mean/worst) | slips 0 | prep  4457 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1800000 928f5b1c

[f= 4559 plane    ] line  3181/ 5678 cy (mean/worst) | slips 0 | prep  4598 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1824000 a2e3c73b

[f= 4619 plane    ] line  3173/ 5748 cy (mean/worst) | slips 0 | prep  5129 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1848000 cdcccf1e

[f= 4679 plane    ] line  3045/ 5733 cy (mean/worst) | slips 0 | prep  5559 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1872000 1a6f8774

[f= 4739 plane    ] line  3193/ 5895 cy (mean/worst) | slips 0 | prep  7980 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.75 fps 23896 sps | AHASH s=1896000 be44b554

[f= 4799 plane    ] line  3333/ 6339 cy (mean/worst) | slips 0 | prep  8414 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1920000 648382fd

[f= 4859 plane    ] line  3401/ 6210 cy (mean/worst) | slips 0 | prep  8832 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1944000 1b7493f5

[f= 4919 plane    ] line  3327/ 5963 cy (mean/worst) | slips 0 | prep  9619 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1968000 eeb63957

[f= 4979 plane    ] line  3188/ 5909 cy (mean/worst) | slips 0 | prep  8550 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=1992000 e0354128

[f= 5039 plane    ] line  3362/ 6163 cy (mean/worst) | slips 0 | prep  8863 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2016000 50fc0e4c

[f= 5099 plane    ] line  3342/ 6146 cy (mean/worst) | slips 0 | prep  8079 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.75 fps 23896 sps | AHASH s=2040000 5d179e74

[f= 5159 plane    ] line  3059/ 5915 cy (mean/worst) | slips 0 | prep  7514 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2064000 0dd25010

