T t=23.0 bar=12 sec=1 smooth=1 interp=1 | render ms 60.25/61.28/62.30 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2957 cy/pump 42.40 Mcy/s 1766 cy/sample | pump worst 234.21 us peak 247.14 us | AHASH s=552000 c826a965
T t=24.0 bar=12 sec=1 smooth=1 interp=1 | render ms 59.98/60.26/60.78 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2936 cy/pump 42.11 Mcy/s 1754 cy/sample | pump worst 223.85 us peak 247.14 us | AHASH s=576000 fb6e8ee8
T t=25.0 bar=13 sec=1 smooth=1 interp=1 | render ms 60.85/61.66/62.29 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2951 cy/pump 42.32 Mcy/s 1763 cy/sample | pump worst 223.29 us peak 247.14 us | AHASH s=600000 a4c6a640
T t=26.0 bar=13 sec=1 smooth=1 interp=1 | render ms 61.64/62.34/62.67 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2964 cy/pump 42.50 Mcy/s 1771 cy/sample | pump worst 191.81 us peak 247.14 us | AHASH s=624000 285437af
T t=27.0 bar=14 sec=1 smooth=1 interp=1 | render ms 59.92/60.44/61.44 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2936 cy/pump 42.11 Mcy/s 1754 cy/sample | pump worst 214.86 us peak 247.14 us | AHASH s=648000 dd48b670
T t=28.0 bar=14 sec=1 smooth=1 interp=1 | render ms 60.03/60.41/61.06 | fps 14.9 | tri 2304 | fill 624 win 986 under 0 | synth 2946 cy/pump 42.25 Mcy/s 1760 cy/sample | pump worst 221.95 us peak 247.14 us | AHASH s=672000 8c370b4b
T t=29.0 bar=15 sec=1 smooth=1 interp=1 | render ms 61.21/61.80/62.49 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2959 cy/pump 42.44 Mcy/s 1768 cy/sample | pump worst 207.88 us peak 247.14 us | AHASH s=696000 db27a9f3
T t=30.0 bar=15 sec=1 smooth=1 interp=1 | render ms 60.40/61.54/62.52 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2946 cy/pump 42.24 Mcy/s 1760 cy/sample | pump worst 223.78 us peak 247.14 us | AHASH s=720000 94005533
T t=31.0 bar=16 sec=1 smooth=1 interp=1 | render ms 59.81/60.02/60.20 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2920 cy/pump 41.87 Mcy/s 1745 cy/sample | pump worst 247.50 us peak 247.50 us | AHASH s=744000 e026ba43
T t=32.0 bar=16 sec=1 smooth=1 interp=1 | render ms 60.32/61.07/61.89 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2937 cy/pump 42.12 Mcy/s 1754 cy/sample | pump worst 197.38 us peak 247.50 us | AHASH s=768000 91c5e747
T t=33.1 bar=17 sec=1 smooth=1 interp=1 | render ms 61.96/62.57/62.97 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2957 cy/pump 42.40 Mcy/s 1766 cy/sample | pump worst 212.07 us peak 247.50 us | AHASH s=792000 3a45d577
T t=34.1 bar=17 sec=1 smooth=1 interp=1 | render ms 60.39/61.29/62.43 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2948 cy/pump 42.28 Mcy/s 1762 cy/sample | pump worst 215.14 us peak 247.50 us | AHASH s=816000 f25f2599
