T t=23.0 bar=12 sec=1 smooth=1 interp=1 | render ms 60.69/61.68/62.73 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2900 cy/pump 41.59 Mcy/s 1733 cy/sample | pump worst 323.54 us peak 349.47 us | AHASH s=552000 d84e24e9
T t=24.0 bar=12 sec=1 smooth=1 interp=1 | render ms 60.42/60.66/61.16 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2876 cy/pump 41.24 Mcy/s 1718 cy/sample | pump worst 320.71 us peak 349.47 us | AHASH s=576000 2157af41
T t=25.0 bar=13 sec=1 smooth=1 interp=1 | render ms 61.28/62.08/62.66 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2905 cy/pump 41.66 Mcy/s 1736 cy/sample | pump worst 330.58 us peak 349.47 us | AHASH s=600000 f411c4f3
T t=26.0 bar=13 sec=1 smooth=1 interp=1 | render ms 62.05/62.76/63.08 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2898 cy/pump 41.56 Mcy/s 1732 cy/sample | pump worst 291.72 us peak 349.47 us | AHASH s=624000 81d2715c
T t=27.0 bar=14 sec=1 smooth=1 interp=1 | render ms 60.37/60.87/61.86 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2879 cy/pump 41.29 Mcy/s 1720 cy/sample | pump worst 314.92 us peak 349.47 us | AHASH s=648000 99a81196
T t=28.0 bar=14 sec=1 smooth=1 interp=1 | render ms 60.45/60.84/61.47 | fps 14.9 | tri 2304 | fill 623 win 987 under 0 | synth 2873 cy/pump 41.21 Mcy/s 1716 cy/sample | pump worst 305.14 us peak 349.47 us | AHASH s=672000 34131042
T t=29.0 bar=15 sec=1 smooth=1 interp=1 | render ms 61.63/62.23/62.94 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2886 cy/pump 41.39 Mcy/s 1724 cy/sample | pump worst 306.64 us peak 349.47 us | AHASH s=696000 48f54225
T t=30.0 bar=15 sec=1 smooth=1 interp=1 | render ms 60.87/61.99/62.99 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2881 cy/pump 41.32 Mcy/s 1721 cy/sample | pump worst 321.99 us peak 349.47 us | AHASH s=720000 0f4a0a3a
T t=31.0 bar=16 sec=1 smooth=1 interp=1 | render ms 60.27/60.46/60.67 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2861 cy/pump 41.03 Mcy/s 1710 cy/sample | pump worst 362.57 us peak 362.57 us | AHASH s=744000 3b837065
T t=32.0 bar=16 sec=1 smooth=1 interp=1 | render ms 60.77/61.50/62.34 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2881 cy/pump 41.32 Mcy/s 1721 cy/sample | pump worst 302.29 us peak 362.57 us | AHASH s=768000 9c3ebb00
T t=33.1 bar=17 sec=1 smooth=1 interp=1 | render ms 62.35/62.98/63.38 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2887 cy/pump 41.41 Mcy/s 1725 cy/sample | pump worst 305.13 us peak 362.57 us | AHASH s=792000 418f0422
T t=34.1 bar=17 sec=1 smooth=1 interp=1 | render ms 60.81/61.72/62.88 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2884 cy/pump 41.36 Mcy/s 1723 cy/sample | pump worst 302.79 us peak 362.57 us | AHASH s=816000 0c7fa58e
T t=35.1 bar=18 sec=1 smooth=1 interp=1 | render ms 60.67/60.91/61.40 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2862 cy/pump 41.04 Mcy/s 1710 cy/sample | pump worst 307.59 us peak 362.57 us | AHASH s=840000 bec11adc
T t=36.1 bar=18 sec=1 smooth=1 interp=1 | render ms 61.72/62.43/63.10 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2887 cy/pump 41.41 Mcy/s 1725 cy/sample | pump worst 326.38 us peak 362.57 us | AHASH s=864000 71f338c5
T t=37.1 bar=19 sec=1 smooth=1 interp=1 | render ms 62.18/62.93/63.28 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2890 cy/pump 41.45 Mcy/s 1727 cy/sample | pump worst 349.69 us peak 362.57 us | AHASH s=888000 52e53ca4
T t=38.1 bar=19 sec=1 smooth=1 interp=1 | render ms 60.72/61.17/62.12 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2869 cy/pump 41.15 Mcy/s 1713 cy/sample | pump worst 319.22 us peak 362.57 us | AHASH s=912000 5be849f4
T t=39.1 bar=20 sec=1 smooth=1 interp=1 | render ms 60.79/61.45/62.30 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2870 cy/pump 41.16 Mcy/s 1715 cy/sample | pump worst 322.02 us peak 362.57 us | AHASH s=936000 30c4cc8e
T t=40.1 bar=20 sec=1 smooth=1 interp=1 | render ms 62.47/62.94/63.43 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2904 cy/pump 41.65 Mcy/s 1735 cy/sample | pump worst 321.40 us peak 362.57 us | AHASH s=960000 1abcc175
T t=41.1 bar=21 sec=1 smooth=1 interp=1 | render ms 61.04/62.26/63.23 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2885 cy/pump 41.37 Mcy/s 1724 cy/sample | pump worst 307.80 us peak 362.57 us | AHASH s=984000 240b2c3a
T t=42.1 bar=21 sec=1 smooth=1 interp=1 | render ms 60.46/60.58/60.95 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2864 cy/pump 41.08 Mcy/s 1711 cy/sample | pump worst 345.92 us peak 362.57 us | AHASH s=1008000 bae3d996
T t=43.1 bar=22 sec=1 smooth=1 interp=1 | render ms 60.71/61.47/62.08 | fps 14.9 | tri 2304 | fill 623 win 987 under 0 | synth 2884 cy/pump 41.36 Mcy/s 1723 cy/sample | pump worst 321.43 us peak 362.57 us | AHASH s=1032000 9095fa21
T t=44.1 bar=22 sec=1 smooth=1 interp=1 | render ms 62.16/62.65/63.05 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2906 cy/pump 41.67 Mcy/s 1736 cy/sample | pump worst 335.80 us peak 362.57 us | AHASH s=1056000 76433e08
T t=45.1 bar=23 sec=1 smooth=1 interp=1 | render ms 60.34/61.01/62.14 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2875 cy/pump 41.23 Mcy/s 1718 cy/sample | pump worst 306.03 us peak 362.57 us | AHASH s=1080000 aac3529a
T t=46.1 bar=24 sec=2 smooth=1 interp=1 | render ms 60.38/60.70/61.31 | fps 14.9 | tri 2304 | fill 623 win 988 under 0 | synth 2872 cy/pump 41.19 Mcy/s 1716 cy/sample | pump worst 324.81 us peak 362.57 us | AHASH s=1104000 b115dedd
T t=47.1 bar=24 sec=2 smooth=1 interp=1 | render ms 61.54/63.64/66.73 | fps 14.9 | tri 2304 | fill 623 win 986 under 0 | synth 2918 cy/pump 41.84 Mcy/s 1743 cy/sample | pump worst 320.44 us peak 362.57 us | AHASH s=1128000 e5da7392
T t=48.1 bar=25 sec=2 smooth=1 interp=1 | render ms 67.34/70.38/73.06 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2846 cy/pump 40.82 Mcy/s 1729 cy/sample | pump worst 342.90 us peak 362.57 us | AHASH s=1152000 b466cd9b
T t=49.1 bar=25 sec=2 smooth=1 interp=1 | render ms 73.53/75.81/78.56 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2882 cy/pump 41.33 Mcy/s 1722 cy/sample | pump worst 307.57 us peak 362.57 us | AHASH s=1176000 ff945873
T t=50.1 bar=26 sec=2 smooth=1 interp=1 | render ms 79.27/83.42/88.99 | fps 10.9 | tri 2304 | fill 623 win 988 under 0 | synth 2861 cy/pump 41.02 Mcy/s 1738 cy/sample | pump worst 313.73 us peak 362.57 us | AHASH s=1200000 95007e1f
T t=51.1 bar=26 sec=2 smooth=1 interp=1 | render ms 90.48/94.66/97.47 | fps 9.9 | tri 2284 | fill 623 win 988 under 0 | synth 2789 cy/pump 39.99 Mcy/s 1666 cy/sample | pump worst 304.04 us peak 362.57 us | AHASH s=1224000 062dc1f7
T t=52.1 bar=27 sec=2 smooth=1 interp=1 | render ms 95.11/97.10/97.94 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2793 cy/pump 40.06 Mcy/s 1669 cy/sample | pump worst 303.23 us peak 362.57 us | AHASH s=1248000 dd95bcf8
T t=53.1 bar=27 sec=2 smooth=1 interp=1 | render ms 91.80/92.48/94.25 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2814 cy/pump 40.35 Mcy/s 1681 cy/sample | pump worst 295.28 us peak 362.57 us | AHASH s=1272000 92127a95
T t=54.1 bar=28 sec=2 smooth=1 interp=1 | render ms 92.81/96.06/99.24 | fps 9.9 | tri 2295 | fill 623 win 988 under 0 | synth 3025 cy/pump 43.38 Mcy/s 1808 cy/sample | pump worst 356.45 us peak 362.57 us | AHASH s=1296000 0fbca72f
T t=55.1 bar=28 sec=2 smooth=1 interp=1 | render ms 99.55/99.79/99.92 | fps 9.9 | tri 2295 | fill 623 win 988 under 0 | synth 3201 cy/pump 45.91 Mcy/s 1913 cy/sample | pump worst 335.98 us peak 362.57 us | AHASH s=1320000 b9758af8
T t=56.1 bar=29 sec=2 smooth=1 interp=1 | render ms 92.54/96.21/99.76 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3203 cy/pump 45.94 Mcy/s 1914 cy/sample | pump worst 355.99 us peak 362.57 us | AHASH s=1344000 eb70a798
