T t=23.0 bar=11 sec=1 smooth=1 interp=1 | render ms 81.05/82.15/83.22 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2643 cy/pump 37.91 Mcy/s 1579 cy/sample | pump worst 264.50 us peak 281.41 us | AHASH s=552000 6d0220b8
T t=24.0 bar=12 sec=1 smooth=1 interp=1 | render ms 80.73/80.92/81.26 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2631 cy/pump 37.73 Mcy/s 1572 cy/sample | pump worst 262.94 us peak 281.41 us | AHASH s=576000 fdc397c0
T t=25.0 bar=13 sec=1 smooth=1 interp=1 | render ms 81.39/82.18/82.77 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2648 cy/pump 37.97 Mcy/s 1582 cy/sample | pump worst 241.45 us peak 281.41 us | AHASH s=600000 ebc5c556
T t=26.0 bar=13 sec=1 smooth=1 interp=1 | render ms 82.10/82.78/83.14 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2650 cy/pump 38.01 Mcy/s 1583 cy/sample | pump worst 268.83 us peak 281.41 us | AHASH s=624000 ba6ac418
T t=27.0 bar=14 sec=1 smooth=1 interp=1 | render ms 80.12/80.71/81.85 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2627 cy/pump 37.68 Mcy/s 1569 cy/sample | pump worst 254.78 us peak 281.41 us | AHASH s=648000 6a167d22
T t=28.0 bar=14 sec=1 smooth=1 interp=1 | render ms 80.04/80.37/80.85 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2623 cy/pump 37.61 Mcy/s 1567 cy/sample | pump worst 269.02 us peak 281.41 us | AHASH s=672000 6fefbc26
T t=29.0 bar=15 sec=1 smooth=1 interp=1 | render ms 81.07/81.56/82.17 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2636 cy/pump 37.80 Mcy/s 1575 cy/sample | pump worst 270.19 us peak 281.41 us | AHASH s=696000 22891487
T t=30.0 bar=15 sec=1 smooth=1 interp=1 | render ms 79.97/81.18/82.19 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2629 cy/pump 37.70 Mcy/s 1571 cy/sample | pump worst 268.32 us peak 281.41 us | AHASH s=720000 16db2db4
T t=31.0 bar=16 sec=1 smooth=1 interp=1 | render ms 79.26/79.51/79.87 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2610 cy/pump 37.44 Mcy/s 1560 cy/sample | pump worst 267.77 us peak 281.41 us | AHASH s=744000 d20eaf95
T t=32.0 bar=16 sec=1 smooth=1 interp=1 | render ms 79.72/80.43/81.16 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2627 cy/pump 37.68 Mcy/s 1570 cy/sample | pump worst 263.07 us peak 281.41 us | AHASH s=768000 eacc0ab3
T t=33.0 bar=17 sec=1 smooth=1 interp=1 | render ms 81.27/81.86/82.19 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2637 cy/pump 37.82 Mcy/s 1575 cy/sample | pump worst 259.14 us peak 281.41 us | AHASH s=792000 9bf19267
T t=34.0 bar=17 sec=1 smooth=1 interp=1 | render ms 79.54/80.62/81.74 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2624 cy/pump 37.63 Mcy/s 1567 cy/sample | pump worst 260.19 us peak 281.41 us | AHASH s=816000 8188ddab
T t=35.0 bar=18 sec=1 smooth=1 interp=1 | render ms 79.60/79.75/80.24 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2615 cy/pump 37.50 Mcy/s 1562 cy/sample | pump worst 265.06 us peak 281.41 us | AHASH s=840000 9b385a0e
