
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=150880 heap_free=150880 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=150880
BOOT heap_free_after_video=139264 scanout_lines=480
T t=18.0 bar=9 ph=2 the plain | render ms 6.30/6.31/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.35 Mcy/s | synth 1532 cy/pump 43.19 Mcy/s 1799 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=432000 2e15854e
T t=19.0 bar=9 ph=2 the plain | render ms 6.29/6.31/6.35 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2639 cy/line 74.37 Mcy/s | synth 1532 cy/pump 43.20 Mcy/s 1800 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=456000 0fee5aae
T t=20.0 bar=10 ph=2 the plain | render ms 6.30/6.31/6.35 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.37 Mcy/s | synth 1531 cy/pump 43.16 Mcy/s 1798 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=480000 024f13e5
T t=21.0 bar=10 ph=2 the plain | render ms 6.29/6.31/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.37 Mcy/s | synth 1532 cy/pump 43.18 Mcy/s 1799 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=504000 6bc4f7f9
T t=22.0 bar=11 ph=2 the plain | render ms 6.29/6.31/6.35 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.36 Mcy/s | synth 1532 cy/pump 43.18 Mcy/s 1799 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=528000 6c7867f1
T t=23.0 bar=12 ph=2 the plain | render ms 6.30/6.31/6.35 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.36 Mcy/s | synth 1533 cy/pump 43.20 Mcy/s 1800 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=552000 4c4ba436
T t=24.0 bar=12 ph=2 the plain | render ms 6.30/6.31/6.35 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.35 Mcy/s | synth 1532 cy/pump 43.19 Mcy/s 1799 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=576000 dd9eff28
T t=25.0 bar=13 ph=2 the plain | render ms 6.30/6.31/6.35 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.37 Mcy/s | synth 1531 cy/pump 43.17 Mcy/s 1799 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=600000 77d6e64d
T t=26.0 bar=13 ph=2 the plain | render ms 6.29/6.31/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.36 Mcy/s | synth 1532 cy/pump 43.17 Mcy/s 1799 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=624000 5b6cb012
T t=27.0 bar=14 ph=2 the plain | render ms 6.30/6.32/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.36 Mcy/s | synth 1532 cy/pump 43.19 Mcy/s 1799 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=648000 6b7bf1ef
T t=28.1 bar=14 ph=2 the plain | render ms 6.30/6.32/6.35 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.36 Mcy/s | synth 1533 cy/pump 43.21 Mcy/s 1800 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=672000 ffe2d472
T t=29.1 bar=15 ph=2 the plain | render ms 6.30/6.32/6.35 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2639 cy/line 74.37 Mcy/s | synth 1531 cy/pump 43.16 Mcy/s 1798 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=696000 f6db67eb
