
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=61616 heap_free=61616 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=61616
BOOT heap_free_after_video=49152 scanout_lines=240
T t=18.0 bar=9 ph=2 the plain | render ms 64.39/64.42/64.50 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.33 Mcy/s 1764 cy/sample | tri 70 px 3001 part 75 ch 1 | AHASH s=432000 2e15854e
T t=19.0 bar=9 ph=2 the plain | render ms 64.39/64.43/64.51 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2953 cy/pump 42.34 Mcy/s 1764 cy/sample | tri 70 px 2994 part 75 ch 1 | AHASH s=456000 0fee5aae
T t=20.0 bar=10 ph=2 the plain | render ms 64.39/64.42/64.52 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2953 cy/pump 42.35 Mcy/s 1764 cy/sample | tri 70 px 3004 part 75 ch 1 | AHASH s=480000 024f13e5
T t=21.0 bar=10 ph=2 the plain | render ms 64.39/64.42/64.51 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2953 cy/pump 42.35 Mcy/s 1764 cy/sample | tri 70 px 3005 part 75 ch 1 | AHASH s=504000 6bc4f7f9
T t=22.0 bar=11 ph=2 the plain | render ms 64.39/64.43/64.50 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2953 cy/pump 42.34 Mcy/s 1764 cy/sample | tri 70 px 3027 part 76 ch 1 | AHASH s=528000 6c7867f1
T t=23.0 bar=12 ph=2 the plain | render ms 64.41/64.44/64.51 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2953 cy/pump 42.36 Mcy/s 1765 cy/sample | tri 70 px 3031 part 77 ch 1 | AHASH s=552000 4c4ba436
T t=24.0 bar=12 ph=2 the plain | render ms 64.42/64.45/64.52 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2953 cy/pump 42.35 Mcy/s 1764 cy/sample | tri 70 px 3061 part 77 ch 1 | AHASH s=576000 dd9eff28
T t=25.0 bar=13 ph=2 the plain | render ms 64.35/64.44/64.53 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2953 cy/pump 42.35 Mcy/s 1764 cy/sample | tri 70 px 3040 part 77 ch 1 | AHASH s=600000 77d6e64d
T t=26.0 bar=13 ph=2 the plain | render ms 64.33/64.36/64.44 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.34 Mcy/s 1764 cy/sample | tri 70 px 3055 part 77 ch 1 | AHASH s=624000 5b6cb012
T t=27.0 bar=14 ph=2 the plain | render ms 64.31/64.36/64.45 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2951 cy/pump 42.32 Mcy/s 1763 cy/sample | tri 70 px 3081 part 78 ch 1 | AHASH s=648000 6b7bf1ef
T t=28.1 bar=14 ph=2 the plain | render ms 64.32/64.36/64.48 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.34 Mcy/s 1764 cy/sample | tri 70 px 3067 part 78 ch 1 | AHASH s=672000 ffe2d472
T t=29.1 bar=15 ph=2 the plain | render ms 64.33/64.36/64.45 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.33 Mcy/s 1763 cy/sample | tri 70 px 3076 part 79 ch 1 | AHASH s=696000 f6db67eb
T t=30.1 bar=15 ph=2 the plain | render ms 64.33/64.38/64.45 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2951 cy/pump 42.33 Mcy/s 1763 cy/sample | tri 70 px 3093 part 79 ch 1 | AHASH s=720000 f5803255
PHRASE t=30.7 bar=16 ph=3 the plain | render ms 64.31/66.30/95.37 | fps 14.4 | hold 6 miss 222 late 222 | gap ms 100.41 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.33 Mcy/s 1764 cy/sample | tri 70 px 3132 part 82 ch 1 | AHASH s=720000 f5803255
T t=31.1 bar=16 ph=3 the plain | render ms 64.34/64.38/64.48 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.33 Mcy/s 1764 cy/sample | tri 70 px 3134 part 82 ch 1 | AHASH s=744000 81431960
T t=32.1 bar=16 ph=3 the plain | render ms 64.34/64.39/64.47 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.33 Mcy/s 1764 cy/sample | tri 70 px 3141 part 82 ch 1 | AHASH s=768000 2e36c2ff
T t=33.1 bar=17 ph=3 the plain | render ms 64.36/64.39/64.46 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2951 cy/pump 42.32 Mcy/s 1763 cy/sample | tri 70 px 3162 part 82 ch 1 | AHASH s=792000 db9f6da3
