
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=62352 heap_free=62352 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=62352
BOOT heap_free_after_video=49152 scanout_lines=240
T t=18.0 bar=9 ph=2 the plain | render ms 89.86/89.93/90.05 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=432000 2e15854e
T t=19.0 bar=9 ph=2 the plain | render ms 89.90/89.93/90.05 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.17 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=456000 0fee5aae
T t=20.0 bar=10 ph=2 the plain | render ms 89.85/89.92/90.07 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2939 cy/pump 42.15 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=480000 024f13e5
T t=21.0 bar=10 ph=2 the plain | render ms 89.88/89.94/90.04 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2943 cy/pump 42.20 Mcy/s 1758 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=504000 6bc4f7f9
T t=22.0 bar=11 ph=2 the plain | render ms 89.88/89.92/90.01 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2939 cy/pump 42.15 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=528000 6c7867f1
T t=23.0 bar=11 ph=2 the plain | render ms 89.86/89.92/90.05 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=552000 4c4ba436
T t=24.0 bar=12 ph=2 the plain | render ms 89.91/89.95/90.06 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2942 cy/pump 42.19 Mcy/s 1758 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=576000 dd9eff28
T t=25.0 bar=13 ph=2 the plain | render ms 89.86/89.94/90.09 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2939 cy/pump 42.15 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=600000 77d6e64d
T t=26.0 bar=13 ph=2 the plain | render ms 89.89/89.94/90.07 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2942 cy/pump 42.19 Mcy/s 1758 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=624000 5b6cb012
T t=27.0 bar=14 ph=2 the plain | render ms 89.86/89.91/90.04 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=648000 6b7bf1ef
